(time)	1 Max  (°C)	1 Mean  (°C)
16:48:07.754	1081.97	1030.67
16:48:07.774	1089.43	1039.83
16:48:07.794	1104.95	1054.75
16:48:07.814	1111.55	1065.08
16:48:07.834	1121.75	1073.49
16:48:07.854	1131.88	1086.48
16:48:07.875	1145.51	1097.54
16:48:07.894	1146.94	1099.19
16:48:07.915	1141.22	1094.26
16:48:07.934	1146.23	1098.92
16:48:07.954	1144.08	1095.97
16:48:07.974	1149.08	1099.21
16:48:07.994	1155.48	1106.13
16:48:08.014	1159.73	1112.87
16:48:08.034	1171.00	1120.87
16:48:08.055	1175.21	1127.74
16:48:08.074	1183.59	1137.01
16:48:08.095	1195.39	1148.43
16:48:08.114	1198.15	1153.58
16:48:08.134	1206.41	1159.50
16:48:08.154	1207.78	1163.33
16:48:08.174	1202.28	1162.06
16:48:08.194	1204.35	1164.05
16:48:08.214	1215.99	1176.28
16:48:08.235	1218.04	1180.70
16:48:08.254	1220.76	1184.88
16:48:08.274	1226.88	1189.51
16:48:08.314	1228.91	1193.73
16:48:08.334	1237.69	1201.46
16:48:08.354	1243.08	1210.02
16:48:08.375	1245.76	1210.09
16:48:08.394	1253.79	1218.15
16:48:08.415	1260.45	1224.28
16:48:08.434	1267.09	1233.53
16:48:08.454	1269.08	1235.30
16:48:08.474	1277.66	1241.01
16:48:08.494	1275.02	1240.65
16:48:08.514	1277.66	1245.12
16:48:08.534	1278.32	1244.43
16:48:08.555	1285.55	1249.40
16:48:08.574	1288.17	1252.05
16:48:08.595	1289.48	1255.56
16:48:08.614	1296.66	1260.18
16:48:08.634	1301.22	1263.27
16:48:08.654	1300.57	1263.66
16:48:08.674	1303.17	1265.74
16:48:08.694	1302.52	1267.30
16:48:08.714	1301.87	1266.80
16:48:08.735	1308.36	1273.22
16:48:08.754	1310.30	1273.05
16:48:08.774	1313.53	1275.35
16:48:08.794	1316.11	1278.42
16:48:08.814	1315.47	1277.62
16:48:08.834	1323.20	1281.31
16:48:08.854	1315.47	1281.06
16:48:08.875	1304.47	1272.16
16:48:08.894	1319.34	1284.63
16:48:08.915	1321.91	1284.34
16:48:08.934	1324.48	1285.48
16:48:08.954	1317.40	1283.24
16:48:08.974	1319.34	1286.22
16:48:08.994	1322.55	1288.16
16:48:09.014	1327.05	1291.60
16:48:09.034	1327.69	1291.30
16:48:09.055	1323.20	1290.38
16:48:09.074	1326.41	1294.64
16:48:09.095	1328.33	1294.38
16:48:09.114	1331.53	1295.66
16:48:09.134	1328.97	1296.31
16:48:09.154	1325.77	1292.34
16:48:09.174	1324.48	1294.69
16:48:09.194	1323.84	1294.71
16:48:09.214	1327.05	1295.75
16:48:09.235	1327.69	1294.46
16:48:09.254	1330.25	1297.76
16:48:09.274	1330.89	1299.07
16:48:09.294	1335.37	1301.58
16:48:09.314	1336.01	1302.72
16:48:09.334	1332.81	1303.02
16:48:09.354	1335.37	1302.95
16:48:09.375	1335.37	1305.06
16:48:09.394	1339.84	1308.83
16:48:09.415	1340.47	1309.86
16:48:09.434	1342.38	1310.31
16:48:09.454	1340.47	1309.44
16:48:09.474	1343.65	1310.75
16:48:09.494	1341.75	1308.53
16:48:09.514	1332.81	1301.51
16:48:09.534	1329.61	1300.43
16:48:09.555	1328.33	1300.68
16:48:09.574	1320.62	1294.38
16:48:09.595	1318.69	1292.79
16:48:09.614	1318.69	1292.08
16:48:09.634	1316.76	1291.28
16:48:09.654	1316.11	1290.85
16:48:09.674	1316.76	1292.90
16:48:09.694	1318.05	1291.29
16:48:09.714	1319.98	1295.44
16:48:09.735	1323.84	1298.19
16:48:09.754	1321.27	1296.74
16:48:09.774	1321.91	1295.98
16:48:09.794	1320.62	1294.77
16:48:09.814	1321.27	1295.41
16:48:09.834	1329.61	1302.11
16:48:09.854	1336.01	1307.39
16:48:09.875	1337.28	1306.22
16:48:09.894	1336.01	1308.51
16:48:09.915	1351.27	1314.98
16:48:09.934	1342.38	1310.69
16:48:09.954	1347.47	1313.49
16:48:09.974	1351.90	1317.40
16:48:09.994	1344.93	1312.73
16:48:10.014	1339.20	1309.68
16:48:10.034	1346.20	1315.57
16:48:10.055	1350.00	1318.24
16:48:10.074	1343.02	1314.02
16:48:10.095	1327.69	1302.11
16:48:10.114	1327.69	1303.03
16:48:10.134	1337.92	1311.49
16:48:10.154	1351.90	1320.09
16:48:10.174	1360.75	1325.87
16:48:10.194	1356.33	1324.35
16:48:10.214	1360.75	1327.86
16:48:10.235	1362.01	1328.04
16:48:10.254	1361.38	1329.80
16:48:10.274	1364.53	1330.04
16:48:10.294	1365.16	1331.44
16:48:10.314	1362.01	1329.45
16:48:10.334	1365.16	1330.94
16:48:10.354	1367.05	1333.03
16:48:10.375	1370.19	1336.51
16:48:10.394	1375.20	1339.26
16:48:10.415	1377.08	1339.20
16:48:10.434	1377.08	1339.96
16:48:10.454	1372.69	1338.11
16:48:10.474	1377.08	1338.54
16:48:10.494	1378.33	1342.33
16:48:10.514	1377.08	1341.15
16:48:10.534	1367.67	1338.58
