Name (PREF Unit):|TargetCalTempDiffCorr (degC)|
Timestamp|Date/Time|Value
6972177143242717832|2021-06-10 16:48:11.930000|0.402802
6972177147537685128|2021-06-10 16:48:12.930000|0.400757
6972177151832652424|2021-06-10 16:48:13.930000|0.401886
6972177156127619720|2021-06-10 16:48:14.930000|0.402374
6972177160422587016|2021-06-10 16:48:15.930000|0.40152
6972177164717554312|2021-06-10 16:48:16.930000|0.404053
6972177169012521608|2021-06-10 16:48:17.930000|0.403412
6972177173307488904|2021-06-10 16:48:18.930000|0.403412
6972177177602456200|2021-06-10 16:48:19.930000|0.404449
6972177181897423496|2021-06-10 16:48:20.930000|0.40329
6972177186192390792|2021-06-10 16:48:21.930000|0.403259
6972177190487358088|2021-06-10 16:48:22.930000|0.40274
6972177194782325384|2021-06-10 16:48:23.930000|0.403778
6972177199077292680|2021-06-10 16:48:24.930000|0.403656
6972177203372259976|2021-06-10 16:48:25.930000|0.40387
6972177207667227272|2021-06-10 16:48:26.930000|0.403229
6972177211962194568|2021-06-10 16:48:27.930000|0.40274
6972177216257161864|2021-06-10 16:48:28.930000|0.402649
6972177220552129160|2021-06-10 16:48:29.930000|0.40451
6972177224847096456|2021-06-10 16:48:30.930000|0.404724
6972177229142063752|2021-06-10 16:48:31.930000|0.405029
6972177233437031048|2021-06-10 16:48:32.930000|0.405487
6972177237731998344|2021-06-10 16:48:33.930000|0.408447
6972177242026965640|2021-06-10 16:48:34.930000|0.408813
6972177246321932936|2021-06-10 16:48:35.930000|0.408508
6972177250616900232|2021-06-10 16:48:36.930000|0.407501
6972177254911867528|2021-06-10 16:48:37.930000|0.409027
6972177259206834824|2021-06-10 16:48:38.930000|0.409027
6972177263501802120|2021-06-10 16:48:39.930000|0.409241
6972177267796769416|2021-06-10 16:48:40.930000|0.40799
6972177272091736712|2021-06-10 16:48:41.930000|0.410583
6972177276386704008|2021-06-10 16:48:42.930000|0.409241
6972177280681671304|2021-06-10 16:48:43.930000|0.411194
6972177284976638600|2021-06-10 16:48:44.930000|0.410278
6972177289271605896|2021-06-10 16:48:45.930000|0.408905
6972177293566573192|2021-06-10 16:48:46.930000|0.407227
6972177297861540488|2021-06-10 16:48:47.930000|0.384003
6972177302156507784|2021-06-10 16:48:48.930000|0.328735
6972177306451475080|2021-06-10 16:48:49.930000|0.259674
6972177310746442376|2021-06-10 16:48:50.930000|0.191772
6972177315041409672|2021-06-10 16:48:51.930000|0.132111
6972177319336376968|2021-06-10 16:48:52.930000|0.0839233
6972177323631344264|2021-06-10 16:48:53.930000|0.0405884
6972177327926311560|2021-06-10 16:48:54.930000|0.00860596
6972177332221278856|2021-06-10 16:48:55.930000|-0.0196533
6972177336516246152|2021-06-10 16:48:56.930000|-0.043335
6972177340811213448|2021-06-10 16:48:57.930000|-0.0611877
6972177345106180744|2021-06-10 16:48:58.930000|-0.0726624
6972177349401148040|2021-06-10 16:48:59.930000|-0.0865479
6972177353696115336|2021-06-10 16:49:00.930000|-0.0949097
6972177357991082632|2021-06-10 16:49:01.930000|-0.103149
6972177362286049928|2021-06-10 16:49:02.930000|-0.110229
6972177366581017224|2021-06-10 16:49:03.930000|-0.115326
6972177370875984520|2021-06-10 16:49:04.930000|-0.120667
6972177375170951816|2021-06-10 16:49:05.930000|-0.125793
6972177379465919112|2021-06-10 16:49:06.930000|-0.127441
6972177383760886408|2021-06-10 16:49:07.930000|-0.131348
6972177388055853704|2021-06-10 16:49:08.930000|-0.134033
6972177392350821000|2021-06-10 16:49:09.930000|-0.136444
6972177396645788296|2021-06-10 16:49:10.930000|-0.137421
6972177400940755592|2021-06-10 16:49:11.930000|-0.142975
6972177405235722888|2021-06-10 16:49:12.930000|-0.142456
6972177409530690184|2021-06-10 16:49:13.930000|-0.145935
6972177413825657480|2021-06-10 16:49:14.930000|-0.147278
6972177418120624776|2021-06-10 16:49:15.930000|-0.147614
6972177422415592072|2021-06-10 16:49:16.930000|-0.151276
6972177426710559368|2021-06-10 16:49:17.930000|-0.149689
6972177431005526664|2021-06-10 16:49:18.930000|-0.151031
6972177435300493960|2021-06-10 16:49:19.930000|-0.153137
6972177439595461256|2021-06-10 16:49:20.930000|-0.154602
6972177443890428552|2021-06-10 16:49:21.930000|-0.155182
6972177448185395848|2021-06-10 16:49:22.930000|-0.156067
6972177452480363144|2021-06-10 16:49:23.930000|-0.155914
6972177456775330440|2021-06-10 16:49:24.930000|-0.156342
6972177461070297736|2021-06-10 16:49:25.930000|-0.157898
6972177465365265032|2021-06-10 16:49:26.930000|-0.159302
6972177469660232328|2021-06-10 16:49:27.930000|-0.159241
6972177473955199624|2021-06-10 16:49:28.930000|-0.158997
6972177478250166920|2021-06-10 16:49:29.930000|-0.160492
6972177482545134216|2021-06-10 16:49:30.930000|-0.161774
6972177486840101512|2021-06-10 16:49:31.930000|-0.161774
6972177491135068808|2021-06-10 16:49:32.930000|-0.162811
6972177495430036104|2021-06-10 16:49:33.930000|-0.163025
6972177499725003400|2021-06-10 16:49:34.930000|-0.162628
6972177504019970696|2021-06-10 16:49:35.930000|-0.164185
6972177508314937992|2021-06-10 16:49:36.930000|-0.164246
6972177512609905288|2021-06-10 16:49:37.930000|-0.164581
6972177516904872584|2021-06-10 16:49:38.930000|-0.165405
6972177521199839880|2021-06-10 16:49:39.930000|-0.163574
6972177525494807176|2021-06-10 16:49:40.930000|-0.165863
6972177529789774472|2021-06-10 16:49:41.930000|-0.164154
6972177534084741768|2021-06-10 16:49:42.930000|-0.165405
6972177538379709064|2021-06-10 16:49:43.930000|-0.166931
6972177542674676360|2021-06-10 16:49:44.930000|-0.16684
6972177546969643656|2021-06-10 16:49:45.930000|-0.166718
