(time)	1 Mean  (°C)
15:52:24.985	46.92
15:52:25.006	37.15
15:52:25.025	52.52
15:52:25.046	43.67
15:52:25.065	44.63
15:52:25.085	40.86
15:52:25.105	50.17
15:52:25.125	52.95
15:52:25.146	47.80
15:52:25.165	44.09
15:52:25.186	54.09
15:52:25.205	40.84
15:52:25.225	52.19
15:52:25.245	45.69
15:52:25.265	40.89
15:52:25.286	58.41
15:52:25.305	44.95
15:52:25.326	44.79
15:52:25.345	51.10
15:52:25.366	27.87
15:52:25.385	69.57
15:52:25.405	43.13
15:52:25.425	60.24
15:52:25.445	50.94
15:52:25.466	47.06
15:52:25.485	38.99
15:52:25.506	38.27
15:52:25.525	44.66
15:52:25.546	45.35
15:52:25.565	46.57
15:52:25.585	55.30
15:52:25.605	62.89
15:52:25.625	56.69
15:52:25.646	37.18
15:52:25.665	50.10
15:52:25.686	33.64
15:52:25.705	61.98
15:52:25.725	47.19
15:52:25.745	47.41
15:52:25.765	41.42
15:52:25.786	42.31
15:52:25.805	35.14
15:52:25.826	56.40
15:52:25.845	50.90
15:52:25.866	54.98
15:52:25.885	64.69
15:52:25.905	40.50
15:52:25.925	36.10
15:52:25.945	61.00
15:52:25.966	51.03
15:52:25.985	67.53
15:52:26.006	27.01
15:52:26.025	67.55
15:52:26.046	45.63
15:52:26.065	55.91
15:52:26.085	45.92
15:52:26.105	47.23
15:52:26.125	41.98
15:52:26.146	62.32
15:52:26.165	51.21
15:52:26.186	39.61
15:52:26.205	50.69
15:52:26.225	57.80
15:52:26.245	35.02
15:52:26.265	47.38
15:52:26.286	38.78
15:52:26.305	31.23
15:52:26.326	36.32
15:52:26.345	47.85
15:52:26.366	47.40
15:52:26.385	42.26
15:52:26.405	39.70
15:52:26.425	42.79
15:52:26.445	54.48
15:52:26.466	42.73
15:52:26.485	41.22
15:52:26.506	59.40
15:52:26.525	52.15
15:52:26.546	47.52
15:52:26.565	53.51
15:52:26.585	63.39
15:52:26.605	30.82
15:52:26.625	48.85
15:52:26.646	52.78
15:52:26.665	46.71
15:52:26.686	45.72
15:52:26.705	54.12
15:52:26.725	60.18
15:52:26.745	53.55
15:52:26.765	50.75
15:52:26.786	47.25
15:52:26.805	44.80
15:52:26.826	55.64
15:52:26.845	63.69
15:52:26.866	47.76
15:52:26.885	45.53
15:52:26.905	50.74
15:52:26.925	42.56
15:52:26.945	64.73
15:52:26.966	42.69
15:52:26.985	65.01
15:52:27.006	41.49
15:52:27.025	43.70
15:52:27.046	0.00
15:52:27.065	51.43
15:52:27.085	47.09
15:52:27.105	27.53
15:52:27.125	42.32
15:52:27.146	45.05
15:52:27.165	24.58
15:52:27.186	47.49
15:52:27.205	41.57
15:52:27.225	47.23
