Trigger Time:	2021-06-10	11:46:11.180
Number of processed measurements:	3
TsLaserEnergy:	4.4792280197143555

Measurement time:	2021-06-10	11:46:11.180
Rad. Pos [mm]	ne [m-3]	Te [eV]	dne [m-3]	dTe [eV]
-21.41538429260254	2.7666433846122906e+18	0.28095421294718675	4.3486131555139584e+17	0.05704795997107253
-18.069231033325195	7.307548342001598e+18	0.3516100102182163	9.176969347627745e+17	0.053727625866516075
-16.396154403686523	1.253855572525056e+19	0.3397808869540513	9.6730263880047e+17	0.03078891061676886
-14.723076820373535	2.2562946172195963e+19	0.36722997456403994	1.2809027339346248e+18	0.023044429307993337
-13.050000190734863	3.6623463484800106e+19	0.4372656969879127	1.4715628605543547e+18	0.019539088037895985
-11.376922607421875	5.796075545821184e+19	0.43641962146865515	2.0577589636880138e+18	0.01770496047274095
-9.703845977783203	7.758292144247905e+19	0.4049818690740214	2.319762276665524e+18	0.012870627343186218
-8.030769348144531	9.589959768866921e+19	0.545461103443278	2.3845328573903667e+18	0.01467908653660255
-6.357692241668701	1.155430238297711e+20	0.6089742911641953	2.9970889271662346e+18	0.017208410725196337
-4.684615612030029	1.3386034219075188e+20	0.6779920121670714	3.529259701835399e+18	0.02039421719853586
-3.011538505554199	1.3745183095218451e+20	0.6967042627281961	3.2102289813327053e+18	0.01832521558594033
-1.3384615182876587	1.3212038703002891e+20	0.8020350577194137	3.3659561117095035e+18	0.02307985725806428
0.3346153795719147	1.3703637388655958e+20	0.8723537196728026	3.6108959662966047e+18	0.025985448362153187
2.007692337036133	1.22715560390219e+20	0.8777678930251755	3.212130861570851e+18	0.026351338004484907
3.680769205093384	1.4566469902655501e+20	0.7633549569684617	3.464177684441989e+18	0.020470167190132223
5.353846073150635	1.4214337669916053e+20	0.705130326162091	3.6588632605699604e+18	0.021067935690274195
7.026923179626465	1.6163220270930408e+20	0.7807734469663353	4.013584678266077e+18	0.021767311208335964
8.699999809265137	1.4811695300412336e+20	0.7000461279097242	3.0856144566091776e+18	0.016179067670738713
10.373077392578125	1.404932648325664e+20	0.55686686623378	3.802758271442354e+18	0.016062859103371442
12.046154022216797	1.151635867650721e+20	0.5735815572622398	2.7884527475050414e+18	0.015229750133161368
13.719230651855469	8.926443204313403e+19	0.5263523180125862	2.643244919749083e+18	0.016825905091906564
15.39230728149414	5.296946524931804e+19	0.45035897180268764	2.380427555850158e+18	0.02227079048340477
17.065383911132812	2.6912893447631274e+19	0.40023531037997373	1.5165932218309673e+18	0.02529811032968875
18.738462448120117	7.393081000793735e+18	0.2416089985716749	1.1008466410505503e+18	0.0419503587137273
20.41153907775879	7.684749000049689e+18	0.33895243968891386	8.353316940923535e+17	0.04370566589722365
22.08461570739746	5.943433193687351e+18	0.30868458617726613	7.119278691099607e+17	0.043706815565970614

Measurement time:	2021-06-10	11:46:14.180
Rad. Pos [mm]	ne [m-3]	Te [eV]	dne [m-3]	dTe [eV]
-19.742307662963867	5.303629576507752e+18	0.1355434240637568	8.088571720824259e+17	0.0220354714435655
-18.069231033325195	7.662724682633708e+18	0.3493112778131009	6.955283783037747e+17	0.03687298031653709
-16.396154403686523	1.168661233460786e+19	0.25896647544745083	9.436821740983419e+17	0.023073496261905087
-14.723076820373535	1.7227140487412974e+19	0.4497373842334953	1.0148036027046953e+18	0.030819364232546463
-13.050000190734863	3.4023723216505143e+19	0.35942122273838367	1.5248834020654449e+18	0.017557552013391906
-11.376922607421875	5.581102110990978e+19	0.42455568542804695	2.1147608075678515e+18	0.017479335459945716
-9.703845977783203	7.551172301072577e+19	0.44754942342063136	2.1713080033896038e+18	0.013821438693773598
-8.030769348144531	9.251201115958437e+19	0.5583899957968642	2.3169390056833024e+18	0.015156601198534037
-6.357692241668701	1.1955058538334021e+20	0.5695498908325328	3.499756506327286e+18	0.018565866970954664
-4.684615612030029	1.333803042101579e+20	0.7190020275666968	3.2558180319551816e+18	0.0202739570573169
-3.011538505554199	1.3002564145725519e+20	0.7127577530397611	3.372512499545932e+18	0.020978276655231293
-1.3384615182876587	1.3835626282891398e+20	0.758222270932451	3.598775774745723e+18	0.021754455592237775
0.3346153795719147	1.4262208646970815e+20	0.7984725368169769	3.5051957903498936e+18	0.022699095036920396
2.007692337036133	1.2518611024127354e+20	0.8778854416121459	3.2943792791308206e+18	0.025893525286463853
3.680769205093384	1.4379557323980092e+20	0.8593134102988966	3.3554774910188913e+18	0.02350401191079591
5.353846073150635	1.4675654925730867e+20	0.8104420810252887	3.1566904616414085e+18	0.019379081125194784
7.026923179626465	1.5515259596886665e+20	0.7046627135264835	4.080411620612768e+18	0.020298135397850654
8.699999809265137	1.5839242572736443e+20	0.6634042486597508	3.362552573465723e+18	0.015642781236525433
10.373077392578125	1.3537235539689734e+20	0.626014762010216	3.254093447967015e+18	0.016763167466688423
12.046154022216797	1.2075607233984777e+20	0.5663474784530488	3.667392722022433e+18	0.018188949584984293
13.719230651855469	9.94882980886138e+19	0.5321949345846613	2.9147294589318595e+18	0.016742441914200653
15.39230728149414	5.583351271976757e+19	0.5653110823321008	2.1551077990659523e+18	0.024491607618879377
17.065383911132812	2.715093771504478e+19	0.48911511204795644	1.674200929408123e+18	0.03485817071026093
18.738462448120117	1.2018486725312512e+19	0.27669360107981666	1.0522939942743572e+18	0.02852197058643247
20.41153907775879	9.374120578581004e+18	0.29760881865639727	1.0056729145502597e+18	0.03847413860341463
22.08461570739746	9.848235490036154e+18	0.31965103431903763	9.045187381480653e+17	0.0344856578666172
23.757692337036133	5.979144781601702e+18	0.36582786276379425	7.83680829707518e+17	0.06258249557340176

Measurement time:	2021-06-10	11:46:17.180
Rad. Pos [mm]	ne [m-3]	Te [eV]	dne [m-3]	dTe [eV]
-21.41538429260254	2.2470199617613988e+18	0.1300457282853983	4.8262489093596774e+17	0.0327976693349031
-19.742307662963867	4.237498022239404e+18	0.22734590555242257	6.071184350207017e+17	0.04098902386017976
-18.069231033325195	6.023799247340569e+18	0.5069491367041629	5.833384036935926e+17	0.06319713470604442
-16.396154403686523	9.664523589709201e+18	0.37906280903959866	8.55955989608792e+17	0.03983021827212067
-14.723076820373535	1.879632499966791e+19	0.3988069377251921	1.072064175414444e+18	0.025608107414012878
-13.050000190734863	3.3011948218579157e+19	0.3735164036116977	1.5692661509932974e+18	0.019223062756260467
-11.376922607421875	5.859512089088046e+19	0.4313741489003966	2.418282641682858e+18	0.019760155975559333
-9.703845977783203	8.099050149100336e+19	0.4763742409585669	2.237562924811944e+18	0.013965695648882058
-8.030769348144531	1.0325743274472296e+20	0.49394117941218896	2.954912210880561e+18	0.015437944806302784
-6.357692241668701	1.2060936230433037e+20	0.6055517474741082	2.651064096690012e+18	0.014925362726385477
-4.684615612030029	1.399014109174741e+20	0.6470359911470431	2.6577573737240986e+18	0.013813075862120786
-3.011538505554199	1.3428817535925905e+20	0.6916958215953661	2.7426567138186363e+18	0.017359346348091442
-1.3384615182876587	1.3824871299953145e+20	0.7573876517614088	2.9725472778784604e+18	0.019646041267609507
0.3346153795719147	1.494997516037726e+20	0.8752711352208022	3.380145309265953e+18	0.02377634725884337
2.007692337036133	1.4171707405083922e+20	0.8186307076084948	2.9244282510004716e+18	0.01937337942372272
3.680769205093384	1.5427117467148327e+20	0.7654251674980839	3.416742553796477e+18	0.019137039296509503
5.353846073150635	1.4832563151498222e+20	0.7740587360559924	3.3344765440504627e+18	0.020631023748376685
7.026923179626465	1.6385017274922592e+20	0.7287654986369733	3.678481021910647e+18	0.01885486117041785
8.699999809265137	1.500118073629674e+20	0.6673954951566697	3.2280251267840737e+18	0.01680361387211207
10.373077392578125	1.4169636804786494e+20	0.5241190965564206	3.4522084008620196e+18	0.013760665085998188
12.046154022216797	1.1111143781597341e+20	0.5186865285040964	2.993381648835281e+18	0.015375156757016794
13.719230651855469	9.070640196054365e+19	0.5156796808293592	2.498135223405904e+18	0.015971828533683043
15.39230728149414	5.129188758226207e+19	0.4212043808610174	2.0371655232166298e+18	0.017915048569630106
17.065383911132812	2.4509668892568715e+19	0.5497966858147265	1.527329128242479e+18	0.04033211927386579
18.738462448120117	1.4605987230167073e+19	0.25268880001797167	1.2124103063497605e+18	0.02576548345097404
20.41153907775879	8.736511586610446e+18	0.0972024049994644	1.4578214391083172e+18	0.016165686383733193
22.08461570739746	7.852598795878531e+18	0.7583282018141888	8.09011997063512e+17	0.10989808603924736
23.757692337036133	6.978979083250041e+18	0.370618028191718	9.217969449032745e+17	0.06283121733047538
