Trigger Time:	2021-06-10	11:21:59.029
Number of processed measurements:	3
TsLaserEnergy:	4.4016571044921875

Measurement time:	2021-06-10	11:21:59.029
Rad. Pos [mm]	ne [m-3]	Te [eV]	dne [m-3]	dTe [eV]
-18.069231033325195	2.0205227654627983e+18	0.10885799887653275	3.946581195583652e+17	0.021552885381010065
-14.723076820373535	2.1950558052821238e+18	0.10867021964786182	4.3461993838936064e+17	0.019322123358753874
-11.376922607421875	2.381715083966284e+18	0.2992055875281685	3.2492722956376474e+17	0.05139671282129923
-9.703845977783203	2.5089557922127544e+18	0.3992675716698093	3.552417959337001e+17	0.07340152391040894
-8.030769348144531	2.495901565534077e+18	0.5985774938017313	3.1045253694121574e+17	0.09774660170932155
-6.357692241668701	2.6963048770043904e+18	0.8884485173807498	3.583942675692257e+17	0.1744069272342904
-4.684615612030029	7.560875821041189e+18	0.6563813861859671	6.716721370769654e+17	0.07185708009384494
-3.011538505554199	1.2795321377150206e+19	0.8338114984929779	7.636680000950764e+17	0.06402249097582266
-1.3384615182876587	1.329761897064851e+19	0.80248371090551	9.242437705919365e+17	0.07227766724377623
0.3346153795719147	1.3767461179918123e+19	1.600020054309169	1.0289155595692933e+18	0.1681500668600195
2.007692337036133	1.3160134937199772e+19	1.878067239066333	1.0221633899436442e+18	0.20913902516891103
3.680769205093384	1.5415559840721797e+19	1.5633143986981797	1.0315389255936901e+18	0.14361566181355298
5.353846073150635	1.5824877233417224e+19	1.6135259593559685	1.030471986997887e+18	0.14863031519154202
7.026923179626465	1.6007650150814056e+19	0.9647072958838073	1.2138444818292408e+18	0.09783961394487643
8.699999809265137	1.1664699067866284e+19	0.3839471262870107	8.643809974566257e+17	0.03222333415969241
10.373077392578125	7.159858641623843e+18	0.5084104261904365	5.7051902582666035e+17	0.048788149731283606
12.046154022216797	7.475526230935077e+18	0.43502852228482775	6.710991540799406e+17	0.047926034316043205
13.719230651855469	6.721650481396974e+18	0.2121367360025539	7.226591025970545e+17	0.025547659041475098
18.738462448120117	2.339123851796939e+18	0.21445416565202782	4.3201921543254835e+17	0.04568834528746621

Measurement time:	2021-06-10	11:22:02.029
