Trigger Time:	2021-06-10	14:38:16.589
Number of processed measurements:	3
TsLaserEnergy:	4.536909103393555

Measurement time:	2021-06-10	14:38:16.589
Rad. Pos [mm]	ne [m-3]	Te [eV]	dne [m-3]	dTe [eV]
-18.069231033325195	1.142031171787214e+19	0.9032676265113632	9.978345648753213e+17	0.09761898847840846
-16.396154403686523	1.9437443632754328e+19	1.0318797380389235	1.054646399401984e+18	0.07090363660691582
-14.723076820373535	2.1728808272853467e+19	0.8584654791739422	1.1796188838798295e+18	0.052682536636270795
-13.050000190734863	2.330482624987503e+19	1.115290908361256	1.2018431749731123e+18	0.06538775790969084
-11.376922607421875	2.1742811652944822e+19	1.401775693579039	1.159859560417067e+18	0.09646181663014769
-9.703845977783203	3.0700913315459105e+19	1.6081280830623246	1.4212824686940652e+18	0.08799608962448244
-8.030769348144531	4.151696093049625e+19	1.6366495494080786	1.5996727327425823e+18	0.07428770673323383
-6.357692241668701	7.665797707682179e+19	1.8551014561769643	2.3055635958212854e+18	0.06676805625818492
-4.684615612030029	1.2949391763406271e+20	2.1875545158948793	3.2121127196289925e+18	0.061880002587345204
-3.011538505554199	1.504251885506391e+20	2.287645564469228	3.271370074174259e+18	0.06038298260659349
-1.3384615182876587	1.6114625375419918e+20	2.89861648736324	3.182689788469707e+18	0.07623894167476555
0.3346153795719147	1.6175596373812655e+20	3.5291290358863625	3.483477686922248e+18	0.10131587943685016
2.007692337036133	1.717851106723737e+20	4.664062660047954	3.6406809116593357e+18	0.1439233898148239
3.680769205093384	1.7191610208966043e+20	4.3293717398596305	3.660632924534866e+18	0.1390125696773502
5.353846073150635	1.773068228826927e+20	3.3031227162900523	3.6673341730282537e+18	0.08879979884193297
7.026923179626465	1.726697865241753e+20	2.626574849426186	3.3278706781907845e+18	0.06271878174398493
8.699999809265137	1.2644132151163565e+20	2.029353964745873	2.9920737797540413e+18	0.05701515407252975
10.373077392578125	7.022600557814612e+19	1.862894516032706	2.098536139110482e+18	0.06777707715269757
12.046154022216797	5.133446946858258e+19	1.7216525873827875	1.7247009487160607e+18	0.06812585034519783
13.719230651855469	4.635952240052404e+19	1.5497813856725042	1.5853355134332436e+18	0.0644686632977807
15.39230728149414	4.078746135374594e+19	1.5560986742496858	1.60100190486161e+18	0.0690419245554438
17.065383911132812	3.8761866266266305e+19	1.555132629788201	1.908713428034257e+18	0.08804879286019857
18.738462448120117	4.06006147457682e+19	1.4934219613055075	1.6121814642149294e+18	0.07123671782950138
20.41153907775879	3.203931803362525e+19	1.2101775477054857	1.4949493354381967e+18	0.06945735836564089
22.08461570739746	2.799840609336243e+19	1.3449601129246502	1.4326999348758446e+18	0.08311858466863681
23.757692337036133	2.6058874179035333e+19	1.068669137941797	1.473114683778007e+18	0.07080461886488008
25.430768966674805	1.968087770616719e+19	1.1726972170553134	1.6951287588533043e+18	0.13188152740840253

Measurement time:	2021-06-10	14:38:19.589
Rad. Pos [mm]	ne [m-3]	Te [eV]	dne [m-3]	dTe [eV]
-23.08846092224121	2.062625264713597e+18	0.08419491665132153	4.305742509952205e+17	0.018625024487355504
-19.742307662963867	5.18683010555655e+18	0.7971511035252902	6.072450162968494e+17	0.1343591543214338
-18.069231033325195	1.2571459710223385e+19	1.2950865952177233	9.925827475852493e+17	0.14248873432118825
-16.396154403686523	1.879716062850502e+19	1.2474369805992234	1.2572508644316283e+18	0.1025265814755398
-14.723076820373535	2.066101095846904e+19	1.0722558623968015	1.3888452264072315e+18	0.08365989207940618
-13.050000190734863	2.7060223607706747e+19	1.2776559227650572	1.3017988149815542e+18	0.07356369779742597
-11.376922607421875	2.6625140259526017e+19	1.4506709036911805	1.3597441772769772e+18	0.09071400739044291
-9.703845977783203	3.411068139212269e+19	1.6801431720151823	1.4340296567506862e+18	0.08346411055116758
-8.030769348144531	4.968337683761647e+19	1.7009987278346834	1.7521411855325594e+18	0.07228197345917056
-6.357692241668701	7.180702853209732e+19	2.332593336514598	2.0720982445816545e+18	0.0837727008039987
-4.684615612030029	1.0518653908979548e+20	2.1491576773874774	2.371887374159315e+18	0.06101391375555827
-3.011538505554199	1.330210629750379e+20	2.5594613025823176	3.195087881584509e+18	0.07752106436315698
-1.3384615182876587	1.5188713439530215e+20	2.951783624503577	3.20401234258926e+18	0.08173120678101668
