Trigger Time:	2021-06-10	14:59:34.879
Number of processed measurements:	3
TsLaserEnergy:	4.485195159912109

Measurement time:	2021-06-10	14:59:34.879
Rad. Pos [mm]	ne [m-3]	Te [eV]	dne [m-3]	dTe [eV]
-19.742307662963867	1.8404521727691325e+19	1.0790468144977325	1.504121736315011e+18	0.11671569230244358
-18.069231033325195	3.281275409502149e+19	1.581523699436948	1.821437081239421e+18	0.11183563084635799
-16.396154403686523	4.749420080820283e+19	1.446352667199072	2.2942589670203064e+18	0.0870318805990675
-14.723076820373535	4.252298768163222e+19	1.796272785377013	2.003442676959019e+18	0.10758573913581265
-13.050000190734863	4.257102754367301e+19	1.6196628507880124	2.2524210377549414e+18	0.10323369834861813
-11.376922607421875	5.322564706054334e+19	2.4001152779687915	1.8856157123916595e+18	0.11589090582463205
-9.703845977783203	6.4721181866429776e+19	2.1279986090187775	2.591289971679691e+18	0.11204903558630994
-8.030769348144531	1.1829222511167616e+20	2.2959033325342695	3.0000158271193743e+18	0.07209810209575797
-6.357692241668701	2.797146146141215e+20	2.40106712301277	4.884596899069297e+18	0.05206084317653601
-4.684615612030029	5.142326866646967e+20	2.6969734637815566	5.322107968924156e+18	0.041606317819994694
-3.011538505554199	6.296415788719722e+20	2.8886275198615414	6.876944404192428e+18	0.04586971561711348
-1.3384615182876587	7.096053827932374e+20	3.2590222299415683	6.647662694696485e+18	0.04956827561220099
0.3346153795719147	7.904337371054693e+20	3.9319626379737307	7.137876105649717e+18	0.056340590977654946
2.007692337036133	8.560554058009081e+20	4.180262688483114	7.540949371811004e+18	0.06502610136785507
3.680769205093384	8.195648490826503e+20	4.147948041378953	7.751470114402206e+18	0.06356929962361998
5.353846073150635	8.153058512100414e+20	3.653789917457249	7.039386801835868e+18	0.05314975092174236
7.026923179626465	7.719192982998609e+20	3.1756961754457653	8.59929803302214e+18	0.0447879126230671
8.699999809265137	6.374892419601536e+20	2.796773747011059	7.391841301433418e+18	0.03980012518842819
10.373077392578125	4.110055388682492e+20	2.561493755569934	5.130577441412088e+18	0.04804898836308702
12.046154022216797	1.938790315724395e+20	2.557850798194464	3.5458939383741153e+18	0.06415203040612759
13.719230651855469	1.0577273711707449e+20	2.63420203426833	2.6615223764155105e+18	0.08617209981816852
15.39230728149414	6.9134920607485395e+19	2.17160986089136	2.3631874884045373e+18	0.09190926957955707
17.065383911132812	6.4386666448795206e+19	2.0178947121041966	2.3609200205501563e+18	0.09011878152392225
18.738462448120117	5.914844352048896e+19	2.154280117252901	2.3077734767541617e+18	0.10520444236200076
20.41153907775879	5.402657531068049e+19	1.8151244484009275	2.45110498791732e+18	0.09932673063870254
22.08461570739746	5.14914841270755e+19	1.3952157240481122	2.2782907596501156e+18	0.07917673358858304
23.757692337036133	4.2232857349387715e+19	1.3944307221598338	2.2380227955502612e+18	0.09186570318493525

Measurement time:	2021-06-10	14:59:37.879
Rad. Pos [mm]	ne [m-3]	Te [eV]	dne [m-3]	dTe [eV]
-19.742307662963867	1.133133703792925e+19	1.4673847475953004	1.133207604718207e+18	0.23061477685333198
-18.069231033325195	2.7208292639596085e+19	0.9952704125671537	1.9854347380803502e+18	0.09250550392743473
-16.396154403686523	4.265969655938338e+19	1.482229593170144	2.1101959101672325e+18	0.0898345612230827
-14.723076820373535	4.738019024849548e+19	1.721241126989137	2.672024911484027e+18	0.11806883224799401
-13.050000190734863	5.5539098690221244e+19	2.2745472472476687	2.3553567665915167e+18	0.11842957611420171
-11.376922607421875	6.7614010153247965e+19	2.0481949782066575	2.447650872138662e+18	0.09418700540282
-9.703845977783203	6.906792956302826e+19	2.4098017010633943	2.0577490680833638e+18	0.09844781896646151
-8.030769348144531	1.0308863571962678e+20	2.368490593469827	2.9343722341620777e+18	0.0872733110359301
-6.357692241668701	2.4642069883762246e+20	2.6965460290432115	4.625922494983832e+18	0.06282727416836956
-4.684615612030029	4.723782724214965e+20	2.5648565971636876	6.028585971212091e+18	0.046614252190942805
-3.011538505554199	6.150113540074824e+20	2.910734399348792	6.36384355919541e+18	0.04443017403130322
-1.3384615182876587	6.880846504988707e+20	3.254706897875768	6.407500767887884e+18	0.049934697228448524
0.3346153795719147	7.758633960422748e+20	4.0374910953109175	6.795534914004451e+18	0.06807473546761897
2.007692337036133	8.440945488780539e+20	4.364825103660769	6.297080113645224e+18	0.07375978187007168
3.680769205093384	7.949939835719029e+20	4.148723523203222	7.939583359775146e+18	0.07095524564035961
5.353846073150635	8.125992582027359e+20	3.647958152144575	7.857065561866371e+18	0.0694450095114246
7.026923179626465	7.693250841770071e+20	3.081182270811078	7.71801032630154e+18	0.04015311383300066
8.699999809265137	6.0868267063112e+20	2.7030829245206904	6.515896121712181e+18	0.04367417606685174
10.373077392578125	3.667315305408721e+20	2.4985228887835502	4.825168845343818e+18	0.04580325165328127
12.046154022216797	1.976618969297563e+20	2.531205913957791	3.6442400307984466e+18	0.06108313087349505
13.719230651855469	1.0618129804577e+20	2.566017722258868	2.339903680418939e+18	0.08382826812676868
15.39230728149414	7.87976355005669e+19	2.3745986019958067	2.561367312485581e+18	0.09784057200216557
17.065383911132812	7.435184379653836e+19	1.9866595434445542	2.94910623973009e+18	0.10286860792776181
18.738462448120117	6.956430188836448e+19	2.002845749902699	2.4211416467929825e+18	0.09045503946278231
20.41153907775879	6.392002491787405e+19	1.8180882540913486	2.406305386643587e+18	0.09317836268881623
22.08461570739746	5.943960739366358e+19	1.4732274851851384	2.3507594335978783e+18	0.0698788733184206
23.757692337036133	5.442758919156295e+19	1.4842083142710605	2.379284613513085e+18	0.07766021462079399
25.430768966674805	4.012336952470877e+19	1.1216616867896123	2.8551744116133724e+18	0.10592883452072427

Measurement time:	2021-06-10	14:59:40.879
Rad. Pos [mm]	ne [m-3]	Te [eV]	dne [m-3]	dTe [eV]
-18.069231033325195	2.4420159849974727e+19	1.3343315262070965	1.7211921322339205e+18	0.12788808242212532
-16.396154403686523	3.3748651795514655e+19	1.4004932280069864	1.781559993523241e+18	0.09317065789124886
-14.723076820373535	3.0602654359331275e+19	1.7497880877435954	1.7449719574025994e+18	0.13530577543198288
-13.050000190734863	3.235571130061082e+19	2.1499217028635305	1.8704502859486986e+18	0.16094244051682224
-11.376922607421875	4.299278700994835e+19	2.3292166182173726	1.7825645348341678e+18	0.14550027143423538
-9.703845977783203	5.739348662311662e+19	2.383197962866086	2.2191173803054203e+18	0.11683302910832899
-8.030769348144531	1.1127099014730324e+20	2.4882154025300607	2.945066634009641e+18	0.08499637191293918
-6.357692241668701	2.6817459796582177e+20	2.53792530422163	4.4697627067815035e+18	0.05585567784436826
-4.684615612030029	5.0508330736234476e+20	2.6114032558916787	6.092478042146341e+18	0.038616573989072034
-3.011538505554199	6.24035019548361e+20	2.963006973186227	6.181396646996214e+18	0.044143437569477986
-1.3384615182876587	7.08780590742731e+20	3.2851123687533903	7.875085457933992e+18	0.05266571012482947
0.3346153795719147	7.993237724011545e+20	3.744919520014906	6.217727259957002e+18	0.05758477963980331
2.007692337036133	8.385868576400123e+20	4.063243997956963	7.085020932435083e+18	0.0749270082774616
3.680769205093384	8.278568907903137e+20	4.046889818843999	6.728625233407771e+18	0.0566988035556566
5.353846073150635	8.271838137522544e+20	3.6797177311098506	6.966475437018972e+18	0.05448951840449914
7.026923179626465	7.725379802986709e+20	3.1705011249226387	7.548410657717092e+18	0.04860730885434876
8.699999809265137	6.162561770919853e+20	2.7266792906329558	5.97303754426522e+18	0.040514437575988625
10.373077392578125	3.9326554327668805e+20	2.5710765874595474	5.174335255418503e+18	0.046883471331597176
12.046154022216797	1.985487542126274e+20	2.4010814837872934	3.804560371000279e+18	0.06475187007485647
