(frames)	1 Max  (°C)
531	859.61
532	856.27
533	857.39
534	860.25
535	860.88
536	861.20
537	860.88
538	861.36
539	861.20
540	860.88
541	863.26
542	863.26
543	859.93
544	862.78
545	862.63
546	864.84
547	863.10
548	863.89
549	863.42
550	864.68
551	865.31
552	864.21
553	867.05
554	867.99
555	873.32
556	868.15
557	870.34
558	870.03
559	871.60
560	870.19
561	873.16
562	872.69
563	875.19
564	875.19
565	874.25
566	875.66
567	875.50
568	877.83
569	878.92
570	880.78
571	880.01
572	880.78
573	881.71
574	881.86
575	882.33
576	882.95
577	883.26
578	883.41
579	885.41
580	886.64
581	888.03
582	888.64
583	889.56
584	888.64
585	890.94
586	891.09
587	892.16
588	891.55
589	892.77
590	893.23
591	893.99
592	894.60
593	895.06
594	897.80
595	897.95
596	901.59
597	897.49
598	901.13
599	898.56
600	900.53
601	900.68
602	904.30
603	904.30
604	905.81
605	904.75
606	905.36
607	909.41
608	912.11
609	909.41
610	910.91
611	912.55
612	912.55
613	913.90
614	915.09
615	915.09
616	915.54
617	917.02
618	917.32
619	921.03
620	921.32
621	922.80
622	924.72
623	923.83
624	925.90
625	926.63
626	928.10
627	929.28
628	931.62
629	931.48
630	934.84
631	935.71
632	937.60
633	937.46
634	938.48
635	941.96
636	942.97
637	943.98
638	945.14
639	948.16
640	945.57
641	945.71
642	946.00
643	948.74
644	949.74
645	948.31
646	948.31
647	948.02
648	951.18
649	949.89
650	950.46
651	950.46
652	952.33
653	954.90
654	953.61
655	955.61
656	952.61
657	953.76
658	954.76
659	957.47
660	959.61
661	958.04
662	955.90
663	954.90
664	952.61
665	953.33
666	953.33
667	953.61
668	952.18
669	954.61
670	954.47
671	953.76
672	956.76
673	951.75
674	954.90
675	955.61
676	954.19
677	956.19
678	955.61
679	957.90
680	959.32
681	962.16
682	961.88
683	964.15
684	964.57
685	966.55
686	967.96
687	970.08
688	972.61
689	973.03
690	973.59
691	974.01
692	974.99
693	977.51
694	976.39
695	978.63
696	979.47
697	984.34
698	982.95
699	982.81
700	984.48
701	987.25
702	985.17
703	989.19
704	986.56
705	988.36
706	987.12
707	989.47
708	990.85
709	994.71
710	990.71
711	991.95
712	991.13
713	993.20
714	992.23
715	994.16
716	993.88
717	994.57
718	995.54
719	999.10
720	999.65
721	999.10
722	999.93
723	999.93
724	1000.06
725	1003.89
726	1002.93
727	1004.98
728	1003.34
729	1007.57
730	1006.21
731	1008.66
732	1006.48
733	1010.96
734	1011.10
735	1014.62
736	1010.69
737	1015.43
738	1010.01
739	1014.62
740	1011.10
741	1012.05
742	1009.61
743	1013.00
744	1012.18
745	1014.08
746	1015.02
747	1015.43
748	1016.78
749	1016.11
750	1017.05
751	1017.59
752	1017.86
753	1020.15
754	1021.22
755	1021.90
756	1021.22
757	1023.37
758	1022.16
759	1023.37
760	1022.70
761	1024.04
762	1025.38
763	1026.05
764	1027.39
765	1030.86
766	1026.72
767	1029.26
768	1029.39
769	1031.79
770	1033.39
771	1038.04
772	1035.78
773	1038.43
774	1038.17
775	1039.89
776	1040.55
777	1042.80
778	1042.01
779	1043.46
780	1043.06
781	1043.98
782	1046.49
783	1046.22
784	1045.30
785	1046.75
786	1048.20
787	1050.82
788	1049.51
789	1052.00
790	1050.56
791	1055.53
792	1053.70
793	1056.71
794	1054.09
795	1057.75
796	1054.49
797	1059.05
798	1056.97
799	1061.79
800	1060.23
801	1063.47
802	1064.51
803	1066.59
804	1068.91
805	1070.21
806	1071.62
807	1074.59
808	1074.33
809	1080.24
810	1078.44
811	1082.16
812	1083.05
813	1085.35
814	1085.86
815	1089.81
816	1089.30
817	1094.38
818	1091.84
819	1096.41
820	1092.35
821	1095.65
822	1096.41
823	1098.93
824	1097.80
825	1102.09
826	1099.82
827	1103.98
828	1102.21
829	1106.12
830	1104.10
831	1108.00
832	1107.75
833	1107.62
834	1108.88
835	1108.12
836	1109.88
837	1110.00
838	1112.01
839	1111.26
840	1113.13
841	1113.88
842	1114.13
843	1116.38
844	1114.63
845	1117.00
846	1116.63
847	1118.37
848	1116.13
849	1120.61
850	1118.13
851	1120.61
852	1119.00
853	1122.73
854	1121.86
855	1126.20
856	1126.94
857	1126.94
858	1129.66
859	1127.31
860	1126.94
861	1126.45
862	1122.85
863	1121.24
864	1117.88
865	1117.38
866	1113.26
867	1115.01
868	1113.76
869	1113.26
870	1112.01
871	1110.63
872	1107.87
873	1109.50
874	1108.88
875	1109.38
876	1107.25
877	1108.25
878	1106.99
879	1108.50
880	1108.25
881	1110.00
882	1108.88
883	1111.63
884	1110.38
885	1111.51
886	1110.51
887	1111.63
888	1110.88
889	1112.63
890	1113.88
891	1115.13
892	1113.63
893	1116.50
894	1114.88
895	1116.50
896	1114.76
897	1116.26
898	1116.26
899	1117.75
900	1115.01
901	1115.38
902	1112.88
903	1115.88
904	1113.26
905	1116.38
906	1116.75
907	1117.63
908	1115.76
909	1118.37
910	1117.88
911	1119.74
912	1117.75
913	1119.87
914	1120.49
915	1122.23
916	1121.98
917	1122.11
918	1123.72
919	1123.10
920	1123.72
921	1125.33
922	1124.59
923	1125.95
924	1125.08
925	1126.57
926	1126.69
927	1126.69
928	1128.06
929	1129.17
930	1129.17
931	1130.28
932	1130.40
933	1133.12
934	1132.62
935	1134.47
936	1134.35
937	1138.16
938	1138.41
939	1141.60
940	1142.70
941	1145.15
942	1147.22
943	1148.32
944	1148.81
945	1151.00
946	1152.10
947	1152.22
948	1154.89
949	1155.26
950	1155.86
951	1158.29
952	1160.11
953	1163.25
954	1161.19
955	1162.16
956	1162.77
957	1165.30
958	1164.70
959	1167.95
960	1166.51
961	1170.60
962	1168.31
963	1170.48
964	1168.67
965	1170.36
966	1167.47
967	1169.28
968	1169.64
969	1170.24
970	1171.32
971	1170.96
972	1169.64
973	1170.48
974	1170.24
975	1169.16
976	1170.12
977	1168.79
978	1170.00
979	1170.96
980	1170.12
981	1168.91
982	1170.72
983	1172.88
984	1170.36
985	1172.28
986	1172.40
987	1174.56
988	1174.32
989	1175.52
990	1171.44
991	1176.48
992	1176.12
993	1177.79
994	1175.88
995	1178.27
996	1180.66
997	1181.85
998	1181.73
999	1181.85
1000	1184.00
1001	1186.74
1002	1185.31
1003	1184.00
1004	1186.74
1005	1186.98
1006	1188.28
1007	1187.21
1008	1188.64
1009	1192.44
1010	1189.95
1011	1191.13
1012	1188.40
1013	1188.40
1014	1185.55
1015	1186.50
1016	1182.93
1017	1185.31
1018	1178.99
1019	1183.64
1020	1180.30
1021	1185.07
1022	1182.09
1023	1185.19
1024	1184.12
1025	1187.10
1026	1184.83
1027	1185.19
1028	1182.21
1029	1182.93
1030	1180.66
1031	1182.09
1032	1183.05
1033	1190.66
1034	1195.04
1035	1193.62
1036	1190.90
1037	1188.40
1038	1173.36
1039	1152.71
1040	1125.33
1041	1099.31
1042	1070.46
1043	1047.01
1044	1025.78
1045	1012.05
1046	997.73
1047	989.33
1048	977.93
1049	971.48
1050	963.01
1051	959.04
1052	951.61
1053	947.01
1054	940.94
1055	937.75
1056	932.79
1057	930.01
1058	924.87
1059	923.54
1060	919.55
1061	917.02
1062	914.05
1063	911.96
1064	907.76
1065	906.41
1066	902.94
1067	902.64
1068	898.41
1069	897.04
1070	894.45
1071	894.60
1072	889.87
1073	889.41
1074	886.64
1075	885.88
1076	883.10
1077	882.48
1078	879.54
1079	879.23
1080	878.30
1081	874.72
1082	874.10
1083	872.85
1084	871.44
1085	869.87
1086	868.93
1087	867.20
1088	866.89
1089	863.10
1090	863.58
1091	861.04
1092	861.52
1093	859.93
1094	857.71
1095	857.23
1096	855.79
1097	854.99
1098	852.59
1099	852.43
1100	851.31
1101	851.63
1102	848.09
1103	849.54
1104	846.16
1105	845.67
