Name (PREF Unit):|TargetCalTempDiffCorr (degC)|
Timestamp|Date/Time|Value
6972092824444762760|2021-06-10 11:20:59.930000|-0.214905
6972092828739730056|2021-06-10 11:21:00.930000|-0.21286
6972092833034697352|2021-06-10 11:21:01.930000|-0.213898
6972092837329664648|2021-06-10 11:21:02.930000|-0.213562
6972092841624631944|2021-06-10 11:21:03.930000|-0.212097
6972092845919599240|2021-06-10 11:21:04.930000|-0.213043
6972092850214566536|2021-06-10 11:21:05.930000|-0.222809
6972092854509533832|2021-06-10 11:21:06.930000|-0.208038
6972092858804501128|2021-06-10 11:21:07.930000|-0.213837
6972092863099468424|2021-06-10 11:21:08.930000|-0.212738
6972092867394435720|2021-06-10 11:21:09.930000|-0.212738
6972092871689403016|2021-06-10 11:21:10.930000|-0.212555
6972092875984370312|2021-06-10 11:21:11.930000|-0.212311
6972092880279337608|2021-06-10 11:21:12.930000|-0.21521
6972092884574304904|2021-06-10 11:21:13.930000|-0.214264
6972092888869272200|2021-06-10 11:21:14.930000|-0.214722
6972092893164239496|2021-06-10 11:21:15.930000|-0.215515
6972092897459206792|2021-06-10 11:21:16.930000|-0.216431
6972092901754174088|2021-06-10 11:21:17.930000|-0.216492
6972092906049141384|2021-06-10 11:21:18.930000|-0.216827
6972092910344108680|2021-06-10 11:21:19.930000|-0.215942
6972092914639075976|2021-06-10 11:21:20.930000|-0.218292
6972092918934043272|2021-06-10 11:21:21.930000|-0.216522
6972092923229010568|2021-06-10 11:21:22.930000|-0.214661
6972092927523977864|2021-06-10 11:21:23.930000|-0.217712
6972092931818945160|2021-06-10 11:21:24.930000|-0.219391
6972092936113912456|2021-06-10 11:21:25.930000|-0.218445
6972092940408879752|2021-06-10 11:21:26.930000|-0.217407
6972092944703847048|2021-06-10 11:21:27.930000|-0.216736
6972092948998814344|2021-06-10 11:21:28.930000|-0.220886
6972092953293781640|2021-06-10 11:21:29.930000|-0.21283
6972092957588748936|2021-06-10 11:21:30.930000|-0.216095
6972092961883716232|2021-06-10 11:21:31.930000|-0.210663
6972092966178683528|2021-06-10 11:21:32.930000|-0.21637
6972092970473650824|2021-06-10 11:21:33.930000|-0.214111
6972092974768618120|2021-06-10 11:21:34.930000|-0.214905
6972092979063585416|2021-06-10 11:21:35.930000|-0.213409
6972092983358552712|2021-06-10 11:21:36.930000|-0.214325
6972092987653520008|2021-06-10 11:21:37.930000|-0.215546
6972092991948487304|2021-06-10 11:21:38.930000|-0.215607
6972092996243454600|2021-06-10 11:21:39.930000|-0.212341
6972093000538421896|2021-06-10 11:21:40.930000|-0.214478
6972093004833389192|2021-06-10 11:21:41.930000|-0.21167
6972093009128356488|2021-06-10 11:21:42.930000|-0.215637
6972093013423323784|2021-06-10 11:21:43.930000|-0.213562
6972093017718291080|2021-06-10 11:21:44.930000|-0.214691
6972093022013258376|2021-06-10 11:21:45.930000|-0.215027
6972093026308225672|2021-06-10 11:21:46.930000|-0.217499
6972093030603192968|2021-06-10 11:21:47.930000|-0.212555
6972093034898160264|2021-06-10 11:21:48.930000|-0.21582
6972093039193127560|2021-06-10 11:21:49.930000|-0.219788
6972093043488094856|2021-06-10 11:21:50.930000|-0.218933
6972093047783062152|2021-06-10 11:21:51.930000|-0.21698
6972093052078029448|2021-06-10 11:21:52.930000|-0.218872
6972093056372996744|2021-06-10 11:21:53.930000|-0.213715
6972093060667964040|2021-06-10 11:21:54.930000|-0.211731
6972093064962931336|2021-06-10 11:21:55.930000|-0.211517
6972093069257898632|2021-06-10 11:21:56.930000|-0.213562
6972093073552865928|2021-06-10 11:21:57.930000|-0.213928
6972093077847833224|2021-06-10 11:21:58.930000|-0.213165
6972093082142800520|2021-06-10 11:21:59.930000|-0.212189
6972093086437767816|2021-06-10 11:22:00.930000|-0.21347
6972093090732735112|2021-06-10 11:22:01.930000|-0.217407
6972093095027702408|2021-06-10 11:22:02.930000|-0.219727
6972093099322669704|2021-06-10 11:22:03.930000|-0.217773
6972093103617637000|2021-06-10 11:22:04.930000|-0.217743
6972093107912604296|2021-06-10 11:22:05.930000|-0.216095
6972093112207571592|2021-06-10 11:22:06.930000|-0.212067
6972093116502538888|2021-06-10 11:22:07.930000|-0.209412
6972093120797506184|2021-06-10 11:22:08.930000|-0.215118
6972093125092473480|2021-06-10 11:22:09.930000|-0.209747
6972093129387440776|2021-06-10 11:22:10.930000|-0.210632
6972093133682408072|2021-06-10 11:22:11.930000|-0.203339
6972093137977375368|2021-06-10 11:22:12.930000|-0.204224
6972093142272342664|2021-06-10 11:22:13.930000|-0.203186
6972093146567309960|2021-06-10 11:22:14.930000|-0.199524
6972093150862277256|2021-06-10 11:22:15.930000|-0.202209
6972093155157244552|2021-06-10 11:22:16.930000|-0.203735
6972093159452211848|2021-06-10 11:22:17.930000|-0.19989
6972093163747179144|2021-06-10 11:22:18.930000|-0.201416
6972093168042146440|2021-06-10 11:22:19.930000|-0.192078
6972093172337113736|2021-06-10 11:22:20.930000|-0.185425
6972093176632081032|2021-06-10 11:22:21.930000|-0.188049
6972093180927048328|2021-06-10 11:22:22.930000|-0.190643
6972093185222015624|2021-06-10 11:22:23.930000|-0.188171
6972093189516982920|2021-06-10 11:22:24.930000|-0.189362
6972093193811950216|2021-06-10 11:22:25.930000|-0.183197
6972093198106917512|2021-06-10 11:22:26.930000|-0.186768
6972093202401884808|2021-06-10 11:22:27.930000|-0.176117
6972093206696852104|2021-06-10 11:22:28.930000|-0.177521
6972093210991819400|2021-06-10 11:22:29.930000|-0.184448
6972093215286786696|2021-06-10 11:22:30.930000|-0.179443
6972093219581753992|2021-06-10 11:22:31.930000|-0.181976
6972093223876721288|2021-06-10 11:22:32.930000|-0.178375
6972093228171688584|2021-06-10 11:22:33.930000|-0.177521
6972093232466655880|2021-06-10 11:22:34.930000|-0.176422
6972093236761623176|2021-06-10 11:22:35.930000|-0.175385
6972093241056590472|2021-06-10 11:22:36.930000|-0.175934
6972093245351557768|2021-06-10 11:22:37.930000|-0.171814
6972093249646525064|2021-06-10 11:22:38.930000|-0.171783
6972093253941492360|2021-06-10 11:22:39.930000|-0.177063
6972093258236459656|2021-06-10 11:22:40.930000|-0.16449
6972093262531426952|2021-06-10 11:22:41.930000|-0.165894
6972093266826394248|2021-06-10 11:22:42.930000|-0.164642
6972093271121361544|2021-06-10 11:22:43.930000|-0.161987
6972093275416328840|2021-06-10 11:22:44.930000|-0.1604
6972093279711296136|2021-06-10 11:22:45.930000|-0.159454
6972093284006263432|2021-06-10 11:22:46.930000|-0.158417
6972093288301230728|2021-06-10 11:22:47.930000|-0.16153
6972093292596198024|2021-06-10 11:22:48.930000|-0.159332
6972093296891165320|2021-06-10 11:22:49.930000|-0.160645
6972093301186132616|2021-06-10 11:22:50.930000|-0.158569
6972093305481099912|2021-06-10 11:22:51.930000|-0.155792
6972093309776067208|2021-06-10 11:22:52.930000|-0.154907
6972093314071034504|2021-06-10 11:22:53.930000|-0.153961
6972093318366001800|2021-06-10 11:22:54.930000|-0.15332
6972093322660969096|2021-06-10 11:22:55.930000|-0.151031
6972093326955936392|2021-06-10 11:22:56.930000|-0.151031
6972093331250903688|2021-06-10 11:22:57.930000|-0.148956
6972093335545870984|2021-06-10 11:22:58.930000|-0.145935
6972093339840838280|2021-06-10 11:22:59.930000|-0.144653
6972093344135805576|2021-06-10 11:23:00.930000|-0.142792
6972093348430772872|2021-06-10 11:23:01.930000|-0.141052
6972093352725740168|2021-06-10 11:23:02.930000|-0.141998
6972093357020707464|2021-06-10 11:23:03.930000|-0.140137
6972093361315674760|2021-06-10 11:23:04.930000|-0.137756
6972093365610642056|2021-06-10 11:23:05.930000|-0.136993
6972093369905609352|2021-06-10 11:23:06.930000|-0.132874
6972093374200576648|2021-06-10 11:23:07.930000|-0.134521
6972093378495543944|2021-06-10 11:23:08.930000|-0.127136
6972093382790511240|2021-06-10 11:23:09.930000|-0.126648
6972093387085478536|2021-06-10 11:23:10.930000|-0.129547
6972093391380445832|2021-06-10 11:23:11.930000|-0.125122
6972093395675413128|2021-06-10 11:23:12.930000|-0.123505
6972093399970380424|2021-06-10 11:23:13.930000|-0.118408
6972093404265347720|2021-06-10 11:23:14.930000|-0.117004
6972093408560315016|2021-06-10 11:23:15.930000|-0.113281
6972093412855282312|2021-06-10 11:23:16.930000|-0.112885
6972093417150249608|2021-06-10 11:23:17.930000|-0.111725
6972093421445216904|2021-06-10 11:23:18.930000|-0.108093
6972093425740184200|2021-06-10 11:23:19.930000|-0.10434
6972093430035151496|2021-06-10 11:23:20.930000|-0.103577
6972093434330118792|2021-06-10 11:23:21.930000|-0.0974426
6972093438625086088|2021-06-10 11:23:22.930000|-0.100342
6972093442920053384|2021-06-10 11:23:23.930000|-0.0923462
6972093447215020680|2021-06-10 11:23:24.930000|-0.091156
6972093451509987976|2021-06-10 11:23:25.930000|-0.0903625
6972093455804955272|2021-06-10 11:23:26.930000|-0.0855713
6972093460099922568|2021-06-10 11:23:27.930000|-0.0830688
6972093464394889864|2021-06-10 11:23:28.930000|-0.0788574
6972093468689857160|2021-06-10 11:23:29.930000|-0.0762024
6972093472984824456|2021-06-10 11:23:30.930000|-0.0645447
6972093477279791752|2021-06-10 11:23:31.930000|-0.0730896
6972093481574759048|2021-06-10 11:23:32.930000|-0.0640564
6972093485869726344|2021-06-10 11:23:33.930000|-0.0603333
6972093490164693640|2021-06-10 11:23:34.930000|-0.0589294
6972093494459660936|2021-06-10 11:23:35.930000|-0.0626526
6972093498754628232|2021-06-10 11:23:36.930000|-0.0601501
6972093503049595528|2021-06-10 11:23:37.930000|-0.0569458
6972093507344562824|2021-06-10 11:23:38.930000|-0.0513306
6972093511639530120|2021-06-10 11:23:39.930000|-0.0465698
6972093515934497416|2021-06-10 11:23:40.930000|-0.0454102
6972093520229464712|2021-06-10 11:23:41.930000|-0.0399475
6972093524524432008|2021-06-10 11:23:42.930000|-0.0366211
6972093528819399304|2021-06-10 11:23:43.930000|-0.0309448
6972093533114366600|2021-06-10 11:23:44.930000|-0.026123
6972093537409333896|2021-06-10 11:23:45.930000|-0.0238953
6972093541704301192|2021-06-10 11:23:46.930000|-0.0199585
6972093545999268488|2021-06-10 11:23:47.930000|-0.0123596
6972093550294235784|2021-06-10 11:23:48.930000|-0.012146
6972093554589203080|2021-06-10 11:23:49.930000|0.000976563
6972093558884170376|2021-06-10 11:23:50.930000|0.00686646
6972093563179137672|2021-06-10 11:23:51.930000|0.0131226
6972093567474104968|2021-06-10 11:23:52.930000|0.013855
6972093571769072264|2021-06-10 11:23:53.930000|0.0184326
6972093576064039560|2021-06-10 11:23:54.930000|0.0206299
6972093580359006856|2021-06-10 11:23:55.930000|0.0269775
6972093584653974152|2021-06-10 11:23:56.930000|0.0307007
6972093588948941448|2021-06-10 11:23:57.930000|0.0288391
6972093593243908744|2021-06-10 11:23:58.930000|0.032959
6972093597538876040|2021-06-10 11:23:59.930000|0.0359802
6972093601833843336|2021-06-10 11:24:00.930000|0.0371704
6972093606128810632|2021-06-10 11:24:01.930000|0.0398254
6972093610423777928|2021-06-10 11:24:02.930000|0.0364075
6972093614718745224|2021-06-10 11:24:03.930000|0.0361328
6972093619013712520|2021-06-10 11:24:04.930000|0.0372009
6972093623308679816|2021-06-10 11:24:05.930000|0.0388794
6972093627603647112|2021-06-10 11:24:06.930000|0.0418396
6972093631898614408|2021-06-10 11:24:07.930000|0.0412292
6972093636193581704|2021-06-10 11:24:08.930000|0.039978
6972093640488549000|2021-06-10 11:24:09.930000|0.0395813
6972093644783516296|2021-06-10 11:24:10.930000|0.0372009
6972093649078483592|2021-06-10 11:24:11.930000|0.0401306
6972093653373450888|2021-06-10 11:24:12.930000|0.0437927
6972093657668418184|2021-06-10 11:24:13.930000|0.0406494
6972093661963385480|2021-06-10 11:24:14.930000|0.0358276
6972093666258352776|2021-06-10 11:24:15.930000|0.0438843
6972093670553320072|2021-06-10 11:24:16.930000|0.0425415
