Trigger Time:	2021-06-10	14:40:16.590
Number of processed measurements:	3
TsLaserEnergy:	4.509062767028809

Measurement time:	2021-06-10	14:40:16.590
Rad. Pos [mm]	ne [m-3]	Te [eV]	dne [m-3]	dTe [eV]
-18.069231033325195	9.866268580243309e+18	1.0654129533363583	1.0170280521666396e+18	0.14368599330338924
-16.396154403686523	1.5688162858107929e+19	1.2823241426272942	1.0707770596151788e+18	0.11156871608560433
-14.723076820373535	2.0750040613993316e+19	1.2124349323749646	1.224767167778521e+18	0.09216181348097367
-13.050000190734863	2.6564781469207626e+19	1.2246789448693938	1.446348722467242e+18	0.07459941319345806
-11.376922607421875	3.3751569899374772e+19	1.7180031757266327	1.6357132120725914e+18	0.10507239181311692
-9.703845977783203	4.605811987507157e+19	1.7084487426720325	1.691117877874131e+18	0.07708080678435766
-8.030769348144531	5.907300822673051e+19	1.766164856838956	1.9376949052749906e+18	0.07065637714780983
-6.357692241668701	8.328907892738071e+19	1.958533401790739	2.0644647476668662e+18	0.0571577079547466
-4.684615612030029	1.166141416692714e+20	2.246509690596251	2.7716904178616893e+18	0.061786481068705046
-3.011538505554199	1.358557886693979e+20	2.509479998387956	2.7307044726688973e+18	0.06988133905533844
-1.3384615182876587	1.5386368686613647e+20	2.9545647740506205	3.3052168903679017e+18	0.07871343725318337
0.3346153795719147	1.6483345280380646e+20	3.6316430214297535	3.695286507385389e+18	0.10898262700262916
2.007692337036133	1.7550972830169747e+20	3.712327661555337	3.8031945026806743e+18	0.11618328473964962
3.680769205093384	1.7272595837421512e+20	3.6520514569548213	3.550283463670104e+18	0.10099530338309125
5.353846073150635	1.7526748389986586e+20	2.809062697434756	3.624849043730989e+18	0.07244166648204939
7.026923179626465	1.746321069164997e+20	2.113211367899045	3.8975249037624607e+18	0.05446715028800118
8.699999809265137	1.375963947410045e+20	1.870611576733385	2.8957337462945874e+18	0.04751907174924481
10.373077392578125	8.594178706883215e+19	1.7319405494372055	2.2558538504958116e+18	0.05396284405821964
12.046154022216797	6.69529309860709e+19	1.6834274327415992	1.9028019037675192e+18	0.056034713539674104
13.719230651855469	6.28834713259045e+19	1.753038786210452	1.6887498047058084e+18	0.0559562335204734
15.39230728149414	5.875784861179131e+19	1.6190816428123538	1.9289565366132408e+18	0.05892018039828434
17.065383911132812	6.3723652141153255e+19	1.6069792211004454	1.9907739665448305e+18	0.05912515927649866
18.738462448120117	4.951534507261323e+19	1.7355252569294959	2.0140430685624074e+18	0.08676628694889149
20.41153907775879	3.4758293740882756e+19	1.5537481865813298	1.6243989625448694e+18	0.08661683001178606
22.08461570739746	2.765905062554239e+19	1.3193448478142062	1.622228389152686e+18	0.10235603719325978
23.757692337036133	2.8280747485235773e+19	1.2813517245636334	1.5405047135170724e+18	0.08052892051925112

Measurement time:	2021-06-10	14:40:19.590
Rad. Pos [mm]	ne [m-3]	Te [eV]	dne [m-3]	dTe [eV]
-19.742307662963867	6.927336671360844e+18	0.7488752623233558	7.52523831272276e+17	0.11427805167521685
-18.069231033325195	1.3076254294628368e+19	1.065897024387712	9.217857436285665e+17	0.09341336909943483
-16.396154403686523	1.8763559553160184e+19	1.0929019768080837	1.1122621143675044e+18	0.07844550896866594
-14.723076820373535	1.987398493335349e+19	1.3270018837045174	1.372040290688303e+18	0.11187743239860509
-13.050000190734863	2.637154449964925e+19	1.2139672592880244	1.354497582667137e+18	0.07296974261741511
-11.376922607421875	2.9397187194033013e+19	1.4697095794979345	1.4988657958563348e+18	0.09066924090300628
-9.703845977783203	3.5227903953198907e+19	1.7259516223898588	1.6891043972057661e+18	0.09912160553069145
-8.030769348144531	4.713804700173363e+19	1.9449232601108812	1.7474237308935864e+18	0.08894569583984822
-6.357692241668701	7.269369230092193e+19	1.9953108612743455	2.165775810634449e+18	0.07280196661646002
-4.684615612030029	1.126185076178404e+20	2.1507644705639373	3.0877593289170616e+18	0.0671231828832342
-3.011538505554199	1.288256520588865e+20	2.4874689649688735	2.903888824037802e+18	0.06714375590291673
-1.3384615182876587	1.4837617386548783e+20	2.719023868312816	2.94181152983561e+18	0.06825914636855755
0.3346153795719147	1.59603454222476e+20	3.859912857262193	3.542769950961697e+18	0.11815154788889405
2.007692337036133	1.7817907865114693e+20	4.452187342582757	3.928083905311146e+18	0.14934756730225807
3.680769205093384	1.7371550124702748e+20	4.096021094272184	3.45611386616388e+18	0.1178622448420153
5.353846073150635	1.8728412564466696e+20	3.3234330467487125	3.5700878671096054e+18	0.08483534769466912
7.026923179626465	1.8653098656791947e+20	2.3842250002800416	3.6861545135608955e+18	0.055404397564337085
8.699999809265137	1.629769318183532e+20	2.069619962939568	3.4079189729835745e+18	0.0527670725860202
10.373077392578125	1.101706692789692e+20	1.8837416812873171	2.6142296325257953e+18	0.0527772128660647
12.046154022216797	8.89127818362922e+19	1.7802140509623916	2.5993304253357097e+18	0.0636755229649514
13.719230651855469	8.079134914888755e+19	1.9666004458615467	2.1351718665479782e+18	0.0611795013519687
15.39230728149414	6.627618157917477e+19	1.6516271918080103	2.1510324592176005e+18	0.061087351367974045
17.065383911132812	4.764187401590617e+19	1.6072916082855857	1.8194864101727928e+18	0.08330036343323365
18.738462448120117	3.5643193893056414e+19	1.6469722032211769	1.6188134434757673e+18	0.09288418867698323
20.41153907775879	3.4576089270997484e+19	1.125059220142046	1.811620091670823e+18	0.06812239125414338
22.08461570739746	2.855050606604085e+19	1.2790310072649358	1.4511245886614405e+18	0.07945692500640143
23.757692337036133	2.719562846466736e+19	1.5453887635955046	1.4118703742823956e+18	0.09510114332886056
25.430768966674805	2.2188226012380135e+19	0.8897530081856392	1.8840630645342863e+18	0.09133878176072328

Measurement time:	2021-06-10	14:40:22.590
Rad. Pos [mm]	ne [m-3]	Te [eV]	dne [m-3]	dTe [eV]
-19.742307662963867	4.712258896775873e+18	0.6234938813317836	5.797741305937265e+17	0.10371946364865146
-18.069231033325195	1.36549954340478e+19	0.8410239958011293	1.1467619030290924e+18	0.08576981660486653
-16.396154403686523	1.4329087321339593e+19	1.1679839785853006	9.723557193638216e+17	0.09925248624120117
-14.723076820373535	1.8273756809799926e+19	1.2213040821778651	1.1668167202418196e+18	0.09180318742561565
-13.050000190734863	2.2215982083911713e+19	1.2639461431271293	1.4175854982846218e+18	0.0963311880399772
-11.376922607421875	2.8500381529953796e+19	1.21711218823016	1.4199038185517875e+18	0.07312277462093104
-9.703845977783203	3.327412456719909e+19	1.3987746144176638	1.4096505977448694e+18	0.06887207108289332
-8.030769348144531	5.46685009853017e+19	1.570055733516347	2.0974609541774705e+18	0.07227571078994367
-6.357692241668701	6.748565756386791e+19	1.9848839708281891	2.1782901771038884e+18	0.08304256030154036
-4.684615612030029	1.1536764732709431e+20	2.1321803374744044	2.775200883611271e+18	0.059231614568542174
-3.011538505554199	1.2915273477791731e+20	2.443914672123334	2.814435581658923e+18	0.06713729657982523
-1.3384615182876587	1.464343923503703e+20	3.073715313486932	3.584678936166007e+18	0.09526614096367715
0.3346153795719147	1.561331492346103e+20	3.5431564468124868	3.396620941252362e+18	0.108526117746762
2.007692337036133	1.7055212712907873e+20	4.320164385748851	3.47381902702805e+18	0.13217011443351784
3.680769205093384	1.6685743380821652e+20	4.113104607102521	3.5237071681151304e+18	0.14607092061008628
5.353846073150635	1.8627020000199705e+20	3.0797206989500245	3.687677886921179e+18	0.08447942436934783
7.026923179626465	1.793564884787276e+20	2.4837277411699787	3.4507699647749816e+18	0.05547220280837408
8.699999809265137	1.4681960844818488e+20	2.0971524721274064	3.130835720592163e+18	0.05296791669067088
10.373077392578125	9.777285763914374e+19	1.8326510476002702	2.410826578457002e+18	0.05755099047193747
12.046154022216797	7.594540558109272e+19	1.842157073549735	2.1414495281867653e+18	0.06513172970518585
13.719230651855469	7.0960483743547e+19	1.7698959151457725	2.0296290582029926e+18	0.06136065485812421
15.39230728149414	5.737293015372372e+19	1.5970063893004587	1.8163283378999132e+18	0.06138983526618862
17.065383911132812	5.200342113901452e+19	1.6573945756708541	1.7647693514554737e+18	0.07061209473142455
18.738462448120117	4.649870298041444e+19	1.5277356604947416	1.7507331234542387e+18	0.07291553170207028
20.41153907775879	3.873281716906046e+19	1.4849389388445702	1.8323706248660255e+18	0.0882994811559183
22.08461570739746	2.5096152792870945e+19	1.2400588503130003	1.3388872663317873e+18	0.08462482721139816
23.757692337036133	2.589032564356704e+19	1.2661272059275115	1.4401271359214715e+18	0.0881291688243504
25.430768966674805	1.6881145068872794e+19	0.9227437411915238	1.7278028084569702e+18	0.12257042073561608
