(time)	1 Mean  (°C)
14:48:04.627	70.72
14:48:04.647	50.59
14:48:04.667	53.55
14:48:04.687	48.66
14:48:04.707	58.11
14:48:04.727	46.99
14:48:04.747	71.79
14:48:04.767	66.52
14:48:04.788	70.31
14:48:04.807	48.87
14:48:04.827	48.96
14:48:04.847	56.71
14:48:04.867	66.94
14:48:04.887	63.59
14:48:04.907	42.33
14:48:04.927	61.74
14:48:04.947	65.59
14:48:04.967	63.51
14:48:04.987	59.04
14:48:05.007	62.94
14:48:05.027	54.57
14:48:05.047	52.83
14:48:05.067	60.75
14:48:05.087	57.20
14:48:05.108	57.81
14:48:05.127	52.20
14:48:05.147	50.51
14:48:05.167	41.46
14:48:05.187	59.42
14:48:05.207	61.90
14:48:05.227	67.43
14:48:05.247	52.80
14:48:05.267	74.83
14:48:05.288	55.52
14:48:05.307	63.95
14:48:05.327	50.10
14:48:05.347	44.72
14:48:05.367	61.09
14:48:05.387	59.61
14:48:05.407	48.78
14:48:05.427	70.78
14:48:05.447	38.47
14:48:05.467	58.43
14:48:05.487	52.97
14:48:05.507	77.49
14:48:05.527	55.22
14:48:05.547	68.60
14:48:05.567	45.87
14:48:05.587	51.39
14:48:05.608	52.92
14:48:05.627	52.61
14:48:05.647	55.04
14:48:05.667	57.26
14:48:05.687	57.01
14:48:05.707	50.68
14:48:05.727	45.12
14:48:05.747	62.68
14:48:05.767	58.44
14:48:05.788	66.59
14:48:05.807	57.21
14:48:05.827	48.39
14:48:05.847	61.14
14:48:05.867	54.19
14:48:05.887	50.09
14:48:05.907	62.76
14:48:05.927	51.78
14:48:05.947	48.06
14:48:05.967	57.09
14:48:05.987	58.19
14:48:06.007	53.67
14:48:06.027	79.00
14:48:06.047	56.27
14:48:06.067	66.59
14:48:06.087	50.36
14:48:06.108	55.32
14:48:06.127	65.40
14:48:06.147	54.27
14:48:06.167	61.35
14:48:06.187	54.98
14:48:06.207	60.39
14:48:06.227	60.79
14:48:06.247	70.88
14:48:06.267	44.70
14:48:06.288	58.60
14:48:06.307	62.04
14:48:06.327	53.87
14:48:06.347	70.20
14:48:06.367	56.72
14:48:06.387	67.87
14:48:06.407	41.49
14:48:06.427	67.84
14:48:06.447	53.70
14:48:06.467	67.85
14:48:06.487	63.21
14:48:06.507	69.25
14:48:06.527	53.31
14:48:06.547	0.00
14:48:06.567	60.36
14:48:06.587	65.35
14:48:06.608	55.39
14:48:06.627	46.05
14:48:06.647	57.23
14:48:06.667	74.60
14:48:06.687	55.43
14:48:06.707	61.24
14:48:06.727	63.87
14:48:06.747	60.13
14:48:06.767	59.53
14:48:06.788	73.17
14:48:06.807	54.03
14:48:06.827	48.83
14:48:06.847	42.71
14:48:06.867	50.72
14:48:06.887	60.09
14:48:06.907	59.84
14:48:06.927	49.51
14:48:06.947	60.17
14:48:06.967	75.44
14:48:06.987	49.41
14:48:07.007	67.49
14:48:07.027	70.68
14:48:07.047	52.20
14:48:07.067	61.38
14:48:07.087	52.38
14:48:07.108	55.76
14:48:07.127	58.04
14:48:07.147	53.25
14:48:07.167	51.98
14:48:07.187	62.95
14:48:07.207	30.13
14:48:07.227	64.37
14:48:07.247	62.32
14:48:07.267	69.60
14:48:07.288	57.69
14:48:07.307	58.71
14:48:07.327	45.02
14:48:07.347	80.22
14:48:07.367	42.07
14:48:07.387	70.68
14:48:07.407	48.29
14:48:07.427	70.31
14:48:07.447	78.24
14:48:07.467	130.20
14:48:07.487	153.20
14:48:07.507	177.09
14:48:07.527	195.84
14:48:07.547	219.06
14:48:07.567	232.23
14:48:07.587	253.63
14:48:07.608	269.72
14:48:07.627	287.24
14:48:07.647	303.88
14:48:07.667	320.93
14:48:07.687	336.48
14:48:07.707	352.60
14:48:07.727	364.68
14:48:07.747	380.09
14:48:07.767	394.36
14:48:07.788	411.29
14:48:07.807	425.34
14:48:07.827	438.55
14:48:07.847	454.02
14:48:07.867	467.58
14:48:07.887	483.19
14:48:07.907	492.03
14:48:07.927	504.40
14:48:07.947	519.30
14:48:07.967	531.99
14:48:07.987	546.00
14:48:08.007	556.14
14:48:08.027	567.83
14:48:08.047	581.79
14:48:08.067	589.90
14:48:08.087	603.84
14:48:08.108	615.07
14:48:08.127	625.59
14:48:08.147	636.79
14:48:08.167	647.74
14:48:08.187	658.91
14:48:08.207	666.84
14:48:08.227	680.78
14:48:08.247	689.55
14:48:08.267	702.37
14:48:08.288	712.78
14:48:08.307	721.95
14:48:08.327	733.36
14:48:08.347	744.36
14:48:08.367	753.76
14:48:08.387	763.53
14:48:08.407	772.76
14:48:08.427	783.25
14:48:08.447	792.65
14:48:08.467	800.71
14:48:08.487	810.72
14:48:08.507	821.32
14:48:08.527	826.97
14:48:08.547	838.03
14:48:08.567	846.08
14:48:08.587	854.38
14:48:08.608	862.68
14:48:08.647	881.13
14:48:08.667	887.64
14:48:08.687	897.52
14:48:08.707	904.15
14:48:08.727	913.72
14:48:08.747	922.04
14:48:08.767	929.18
14:48:08.788	937.46
14:48:08.807	943.50
14:48:08.827	951.20
14:48:08.847	960.22
14:48:08.867	967.36
14:48:08.887	974.01
14:48:08.907	981.74
14:48:08.927	988.73
14:48:08.947	994.61
14:48:08.967	1004.36
14:48:08.987	1009.44
14:48:09.007	1016.11
14:48:09.027	1020.92
14:48:09.047	1028.17
14:48:09.067	1035.97
14:48:09.087	1043.01
14:48:09.108	1049.54
14:48:09.127	1054.42
14:48:09.147	1064.01
14:48:09.167	1067.51
14:48:09.187	1076.15
14:48:09.207	1081.85
14:48:09.227	1086.42
14:48:09.247	1094.20
14:48:09.267	1097.83
14:48:09.288	1104.86
14:48:09.307	1110.15
14:48:09.327	1116.00
14:48:09.347	1122.26
14:48:09.367	1127.78
14:48:09.387	1131.12
14:48:09.407	1139.58
14:48:09.427	1144.72
14:48:09.447	1149.23
14:48:09.467	1153.70
14:48:09.487	1158.98
14:48:09.507	1166.16
14:48:09.527	1172.87
14:48:09.547	1175.35
14:48:09.567	1181.17
14:48:09.587	1184.14
14:48:09.608	1191.25
14:48:09.627	1192.63
14:48:09.647	1199.64
14:48:09.667	1203.25
14:48:09.687	1210.34
14:48:09.707	1214.83
14:48:09.727	1219.78
14:48:09.747	1224.43
14:48:09.767	1229.30
14:48:09.788	1233.09
14:48:09.807	1236.53
14:48:09.827	1242.19
14:48:09.847	1247.07
14:48:09.867	1251.02
14:48:09.887	1254.97
14:48:09.907	1260.60
14:48:09.927	1262.09
14:48:09.947	1268.46
14:48:09.967	1272.67
14:48:09.987	1277.40
14:48:10.007	1279.68
14:48:10.027	1281.74
14:48:10.047	1286.08
14:48:10.067	1290.48
14:48:10.087	1296.41
14:48:10.108	1298.88
14:48:10.127	1302.38
14:48:10.147	1308.19
14:48:10.167	1312.39
14:48:10.187	1314.95
14:48:10.207	1318.78
14:48:10.227	1321.95
14:48:10.247	1325.20
14:48:10.267	1331.26
14:48:10.288	1333.66
14:48:10.307	1338.53
14:48:10.327	1340.24
14:48:10.347	1342.40
14:48:10.367	1348.18
14:48:10.387	1349.85
14:48:10.407	1355.65
14:48:10.427	1357.69
14:48:10.447	1360.70
14:48:10.467	1364.43
14:48:10.487	1367.24
14:48:10.507	1372.74
14:48:10.527	1375.43
14:48:10.547	1380.64
14:48:10.567	1381.28
14:48:10.587	1384.04
14:48:10.608	1388.20
14:48:10.627	1390.52
14:48:10.647	1393.19
14:48:10.667	1394.79
14:48:10.687	1400.48
14:48:10.707	1399.43
14:48:10.727	1404.93
14:48:10.747	1406.87
14:48:10.767	1409.71
14:48:10.788	1413.23
14:48:10.807	1417.21
14:48:10.827	1420.23
14:48:10.847	1422.81
14:48:10.867	1425.27
14:48:10.887	1426.62
14:48:10.907	1430.18
14:48:10.927	1435.31
14:48:10.947	1435.38
14:48:10.967	1439.93
14:48:10.987	1443.17
14:48:11.007	1445.80
14:48:11.027	1448.73
14:48:11.047	1451.26
14:48:11.067	1451.72
14:48:11.087	1456.26
14:48:11.108	1457.67
14:48:11.127	1461.14
14:48:11.147	1462.87
14:48:11.167	1466.41
14:48:11.187	1467.90
14:48:11.207	1472.39
14:48:11.227	1471.62
14:48:11.247	1476.62
14:48:11.267	1478.25
14:48:11.288	1481.23
14:48:11.307	1484.38
14:48:11.327	1484.76
14:48:11.347	1486.66
14:48:11.367	1491.03
14:48:11.387	1491.61
14:48:11.407	1493.00
14:48:11.427	1494.22
14:48:11.447	1498.33
14:48:11.467	1500.69
14:48:11.487	1502.81
14:48:11.507	1505.75
14:48:11.527	1509.02
14:48:11.547	1509.72
14:48:11.567	1511.44
14:48:11.587	1514.20
14:48:11.608	1515.73
14:48:11.627	1517.89
14:48:11.647	1520.76
14:48:11.667	1521.96
14:48:11.687	1522.59
14:48:11.707	1525.94
14:48:11.727	1529.71
14:48:11.747	1529.13
14:48:11.767	1532.78
14:48:11.788	1533.28
14:48:11.807	1536.63
14:48:11.827	1537.27
14:48:11.847	1538.07
14:48:11.867	1540.87
14:48:11.887	1543.88
14:48:11.907	1547.50
14:48:11.927	1548.02
14:48:11.947	1548.17
14:48:11.967	1551.29
14:48:11.987	1553.02
14:48:12.007	1555.60
14:48:12.027	1557.16
14:48:12.047	1560.11
14:48:12.067	1562.12
14:48:12.087	1565.18
14:48:12.108	1567.42
14:48:12.127	1566.46
14:48:12.147	1568.36
14:48:12.167	1571.08
14:48:12.187	1573.53
14:48:12.207	1576.13
14:48:12.227	1576.18
14:48:12.247	1579.16
14:48:12.267	1578.28
14:48:12.288	1579.90
14:48:12.307	1582.73
14:48:12.327	1584.13
14:48:12.347	1586.59
14:48:12.367	1588.88
14:48:12.387	1588.15
14:48:12.407	1591.46
14:48:12.427	1595.16
14:48:12.447	1597.19
14:48:12.467	1597.90
14:48:12.487	1599.24
14:48:12.507	1602.73
14:48:12.527	1601.51
14:48:12.547	1604.45
14:48:12.567	1604.56
14:48:12.587	1609.46
14:48:12.608	1609.04
14:48:12.627	1610.64
14:48:12.647	1611.84
14:48:12.667	1613.91
14:48:12.687	1617.42
14:48:12.707	1618.28
14:48:12.727	1621.77
14:48:12.747	1621.63
14:48:12.767	1623.72
14:48:12.788	1623.51
14:48:12.807	1624.65
14:48:12.827	1625.19
14:48:12.847	1626.04
14:48:12.867	1628.13
14:48:12.887	1629.06
14:48:12.907	1632.62
14:48:12.927	1633.10
14:48:12.947	1635.60
14:48:12.967	1638.34
14:48:12.987	1639.62
14:48:13.007	1637.63
14:48:13.027	1640.88
14:48:13.047	1644.19
14:48:13.067	1645.03
14:48:13.087	1645.97
14:48:13.108	1649.25
14:48:13.127	1651.03
14:48:13.147	1651.49
14:48:13.167	1653.85
14:48:13.187	1654.69
14:48:13.207	1656.65
14:48:13.227	1656.95
14:48:13.247	1658.66
14:48:13.267	1658.04
14:48:13.288	1659.96
14:48:13.307	1659.60
14:48:13.327	1661.54
14:48:13.347	1665.69
14:48:13.367	1666.48
14:48:13.387	1664.94
14:48:13.407	1667.54
14:48:13.427	1670.13
14:48:13.447	1671.63
14:48:13.467	1673.49
14:48:13.487	1674.58
14:48:13.507	1678.80
14:48:13.527	1678.23
14:48:13.547	1682.05
14:48:13.567	1681.08
14:48:13.587	1680.84
14:48:13.608	1681.47
14:48:13.627	1684.14
14:48:13.647	1685.28
14:48:13.667	1685.94
14:48:13.687	1687.80
14:48:13.707	1687.53
14:48:13.727	1690.77
14:48:13.747	1689.09
14:48:13.767	1693.12
14:48:13.788	1694.52
14:48:13.807	1698.42
14:48:13.827	1694.14
14:48:13.847	1695.74
14:48:13.867	1699.59
14:48:13.887	1701.38
14:48:13.907	1702.20
14:48:13.927	1704.94
14:48:13.947	1703.96
