     0.0  	    0.00   
     0.0  	    0.00   
  2860.1  	 8000.00   
     0.0  	    0.00   
     0.0  	    0.00   
  08642.6 	 5043603.87
     0.0  	    0.00   
   944.1  	 3403.52   
     0.0  	    0.00   
   151.1  	  751.81   
     0.0  	    0.00   
  1888.2  	 1566.49   
  1606.9  	 1201.29   
  1253.8  	  787.16   
   995.9  	  544.76   
  1367.2  	  925.97   
  1221.4  	  749.62   
  1384.4  	  939.54   
  1254.8  	  783.79   
   997.7  	  544.80   
  1002.0  	  546.42   
   976.2  	  516.56   
   926.7  	  462.55   
  1016.9  	  557.14   
  1020.1  	  559.77   
   982.4  	  519.72   
  1011.6  	  548.76   
  1221.4  	  737.79   
  1059.7  	  599.75   
  1309.5  	  833.25   
  1257.4  	  776.82   
  1219.7  	  735.42   
  1070.8  	  613.64   
  1224.9  	  739.72   
  1020.7  	  560.33   
  1041.1  	  583.22   
  1240.3  	  758.86   
  1235.8  	  755.74   
  1081.6  	  626.51   
  1086.5  	  632.41   
  1568.0  	 1131.02   
  1904.7  	 1602.77   
  2063.2  	 1785.74   
  1608.4  	 1178.23   
  1434.8  	  987.35   
  1536.4  	 1108.64   
  1655.8  	 1236.23   
  1631.0  	 1206.57   
  1451.9  	 1003.12   
  1603.7  	 1169.48   
  1617.3  	 1185.16   
  1567.1  	 1142.20   
  1406.8  	  941.97   
  1346.4  	  860.14   
  1479.8  	 1030.49   
  1414.3  	  949.10   
  1474.3  	 1022.00   
  1676.0  	 1246.42   
  1561.3  	 1129.51   
  1439.4  	  976.43   
  1470.9  	 1015.24   
  1928.9  	 1625.29   
  1577.1  	 1151.04   
  1682.6  	 1254.71   
  2332.5  	 2141.17   
   209.3  	  815.94   
    41.9	14323.63   
   237.3  	  857.28   
  2308.6  	 2124.70   
  2089.6  	 1799.02   
  2244.4  	 2025.87   
  2460.4  	 2356.84   
  2158.3  	 1968.54   
  2151.2  	 1886.99   
  2291.2  	 2093.77   
  2123.3  	 1842.42   
  2199.4  	 1953.67   
  2342.0  	 2167.57   
  1752.8  	 1339.76   
  2170.4  	 2072.51   
    88.7  	  778.81   
  2107.0  	 1878.47   
  1620.1  	 1198.88   
  1596.5  	 1172.63   
  2079.2  	 1854.53   
  2163.9  	 1978.81   
  2127.2  	 1917.93   
  2002.2  	 1678.05   
  2032.4  	 1716.42   
     0.0  	    0.00   
     0.0  	    0.00   
     0.0  	    0.00   
    51.7  	 2004.98   
     0.0  	    0.00   
   195.6  	  601.23   
   874.7  	   19.47   
   864.8  	   13.66   
   885.9  	    5.94   
   921.8  	    3.13   
   960.0  	    0.98   
   991.7  	    0.77   
  1015.3  	    1.16   
  1036.8  	    1.57   
  1055.0  	    1.52   
  1049.2  	    1.10   
  1088.9  	    1.96   
  1072.5  	    1.16   
  1118.2  	    1.97   
  1125.8  	    1.98   
   876.2  	   37.67   
   711.9  	    1.46   
   606.7  	   25.67   
   549.8  	   17.75   
   724.3  	   18.65   
   707.3  	    8.98   
   716.3  	    7.21   
   725.7  	    6.04   
   735.4  	    5.14   
  2328.2  	  564.77   
   768.2  	    2.99   
   770.8  	    2.97   
   773.1  	    2.66   
   828.4  	    1.51   
   831.7  	    1.55   
   834.4  	    1.22   
   837.6  	    1.34   
   840.4  	    1.21   
   843.6  	    1.97   
   846.8  	    1.16   
   849.5  	    1.80   
   852.7  	    1.83   
   855.8  	    1.77   
   858.3  	    1.74   
   861.5  	    1.74   
   863.8  	    1.65   
   867.0  	    1.25   
   869.4  	    1.39   
   872.2  	    1.38   
   874.9  	    1.48   
   877.6  	    1.30   
   880.7  	    1.24   
   884.1  	    1.31   
   886.7  	    1.10   
   889.5  	    1.13   
   892.4  	    1.11   
   895.1  	    1.12   
   897.5  	    1.04   
   902.1  	    1.01   
   905.0  	    1.00   
   907.5  	    0.99   
   910.2  	    0.97   
   912.6  	    0.96   
   914.7  	    0.92   
   917.3  	    0.95   
   919.6  	    0.97   
   921.8  	    0.98   
   924.4  	    0.92   
   927.3  	    0.91   
   930.0  	    0.91   
   932.6  	    0.94   
   935.1  	    0.92   
   938.2  	    1.01   
   939.7  	    0.92   
   942.0  	    0.94   
   959.1  	    1.15   
   961.3  	    1.21   
   963.1  	    1.28   
   965.5  	    1.17   
   967.9  	    1.18   
   970.0  	    1.12   
   972.0  	    1.12   
   975.3  	    1.22   
   976.7  	    1.18   
   978.4  	    1.14   
   981.5  	    1.37   
   983.5  	    1.49   
   985.9  	    1.28   
   988.1  	    1.26   
   990.1  	    1.33   
   992.9  	    1.27   
   994.9  	    1.27   
   996.8  	    1.27   
   999.5  	    1.37   
  1001.2  	    1.34   
  1003.7  	    1.28   
  1006.1  	    1.35   
  1008.0  	    1.53   
  1009.5  	    1.51   
  1011.8  	    1.36   
  1012.4  	    1.44   
  1014.1  	    1.44   
  1015.6  	    1.46   
  1016.5  	    1.28   
  1019.4  	    1.59   
  1021.0  	    1.42   
  1024.3  	    1.41   
  1026.2  	    1.40   
  1028.8  	    1.46   
  1030.8  	    1.40   
  1032.7  	    1.42   
  1035.0  	    1.49   
  1037.3  	    1.43   
  1040.1  	    1.50   
  1041.8  	    1.51   
  1043.3  	    1.40   
  1045.0  	    1.59   
  1047.1  	    1.61   
  1049.2  	    1.53   
  1050.6  	    1.60   
  1053.4  	    1.57   
  1054.6  	    1.59   
  1056.3  	    1.47   
  1059.9  	    1.64   
  1062.6  	    1.51   
  1065.8  	    1.61   
  1068.3  	    1.61   
  1070.7  	    1.67   
  1074.0  	    1.61   
  1075.9  	    1.51   
