(time)	1 Mean  (°C)
17:07:25.260	43.98
17:07:25.279	48.88
17:07:25.300	56.33
17:07:25.319	74.96
17:07:25.340	42.08
17:07:25.360	64.05
17:07:25.380	55.33
17:07:25.400	51.86
17:07:25.419	30.73
17:07:25.440	81.45
17:07:25.459	60.35
17:07:25.480	57.98
17:07:25.500	54.34
17:07:25.520	50.66
17:07:25.540	52.33
17:07:25.560	65.92
17:07:25.580	58.12
17:07:25.599	54.98
17:07:25.620	44.23
17:07:25.639	33.38
17:07:25.660	37.28
17:07:25.680	69.27
17:07:25.700	53.88
17:07:25.720	44.06
17:07:25.739	35.87
17:07:25.760	54.01
17:07:25.779	44.50
17:07:25.800	70.97
17:07:25.819	33.75
17:07:25.840	45.35
17:07:25.860	33.74
17:07:25.880	56.41
17:07:25.900	72.68
17:07:25.919	31.81
17:07:25.940	56.30
17:07:25.959	42.41
17:07:25.980	41.48
17:07:26.000	61.01
17:07:26.020	37.01
17:07:26.040	55.69
17:07:26.060	55.06
17:07:26.080	59.20
17:07:26.099	52.21
17:07:26.120	50.56
17:07:26.139	33.65
17:07:26.160	73.47
17:07:26.180	47.67
17:07:26.200	73.24
17:07:26.220	55.92
17:07:26.239	48.35
17:07:26.260	40.30
17:07:26.279	64.31
17:07:26.300	28.72
17:07:26.319	55.45
17:07:26.340	42.16
17:07:26.360	73.93
17:07:26.380	56.53
17:07:26.400	52.37
17:07:26.419	50.30
17:07:26.440	45.23
17:07:26.459	70.11
17:07:26.480	52.77
17:07:26.500	43.13
17:07:26.520	56.10
17:07:26.540	63.18
17:07:26.560	70.35
17:07:26.580	35.51
17:07:26.599	67.29
17:07:26.620	49.78
17:07:26.639	78.40
17:07:26.660	0.00
17:07:26.680	40.77
17:07:26.700	55.07
17:07:26.720	76.24
17:07:26.739	82.37
17:07:26.760	57.48
17:07:26.779	40.10
17:07:26.800	80.81
17:07:26.819	58.43
17:07:26.840	73.23
17:07:26.860	51.79
17:07:26.880	75.81
17:07:26.900	27.50
17:07:26.919	42.30
17:07:26.940	56.17
17:07:26.959	52.39
17:07:26.980	54.49
17:07:27.000	63.82
17:07:27.020	25.91
17:07:27.040	76.32
17:07:27.060	41.46
17:07:27.080	64.12
17:07:27.099	33.08
17:07:27.120	82.84
17:07:27.139	51.54
17:07:27.160	71.37
17:07:27.180	42.08
17:07:27.200	58.81
17:07:27.220	36.84
17:07:27.239	71.81
17:07:27.260	32.43
17:07:27.279	70.29
17:07:27.300	56.78
17:07:27.319	55.10
17:07:27.340	60.56
17:07:27.360	80.51
17:07:27.380	77.74
17:07:27.400	52.98
17:07:27.419	48.43
17:07:27.440	56.65
17:07:27.459	40.79
17:07:27.480	51.06
17:07:27.500	39.60
17:07:27.520	77.38
17:07:27.540	87.75
17:07:27.560	80.21
17:07:27.580	22.80
17:07:27.599	53.27
17:07:27.620	47.99
17:07:27.639	73.92
17:07:27.660	52.74
17:07:27.680	72.77
17:07:27.700	56.72
17:07:27.720	55.87
17:07:27.739	69.69
17:07:27.760	68.73
17:07:27.779	33.05
17:07:27.800	46.91
17:07:27.819	28.22
17:07:27.840	73.53
17:07:27.860	40.90
17:07:27.880	79.29
17:07:27.900	39.07
17:07:27.919	62.80
17:07:27.940	53.32
17:07:27.959	77.01
17:07:27.980	237.99
17:07:28.000	333.39
17:07:28.020	392.39
17:07:28.040	475.65
17:07:28.060	512.27
17:07:28.080	538.32
17:07:28.099	554.40
17:07:28.120	588.16
17:07:28.139	613.21
17:07:28.160	637.01
17:07:28.180	654.96
17:07:28.200	689.34
17:07:28.220	710.02
17:07:28.239	725.83
17:07:28.260	736.68
17:07:28.279	767.07
17:07:28.300	785.77
17:07:28.319	804.59
17:07:28.340	820.43
17:07:28.360	840.96
17:07:28.380	850.46
17:07:28.400	871.52
17:07:28.419	887.09
17:07:28.440	901.49
17:07:28.459	905.72
17:07:28.480	912.71
17:07:28.500	912.98
17:07:28.520	935.44
17:07:28.540	951.23
17:07:28.560	968.20
17:07:28.580	985.92
17:07:28.599	1006.31
17:07:28.620	1024.77
17:07:28.639	1037.82
17:07:28.660	1053.15
17:07:28.680	1060.51
17:07:28.700	1068.36
17:07:28.720	1080.53
17:07:28.739	1089.90
17:07:28.760	1100.29
17:07:28.779	1106.70
17:07:28.800	1111.42
17:07:28.819	1118.77
17:07:28.840	1121.00
17:07:28.860	1125.13
17:07:28.880	1130.13
17:07:28.900	1136.67
17:07:28.919	1138.51
17:07:28.940	1140.68
17:07:28.959	1143.25
17:07:28.980	1146.69
17:07:29.000	1148.07
17:07:29.020	1153.61
17:07:29.040	1156.82
17:07:29.060	1166.03
17:07:29.080	1168.91
17:07:29.099	1179.57
17:07:29.120	1180.86
17:07:29.139	1188.22
17:07:29.160	1192.79
17:07:29.180	1198.26
17:07:29.200	1199.61
17:07:29.220	1205.76
17:07:29.239	1209.56
17:07:29.279	1215.12
17:07:29.300	1222.60
17:07:29.319	1224.13
17:07:29.340	1228.13
17:07:29.360	1233.41
17:07:29.380	1246.15
17:07:29.400	1255.32
17:07:29.419	1261.92
17:07:29.440	1269.49
17:07:29.459	1271.92
17:07:29.480	1279.92
17:07:29.500	1281.23
17:07:29.520	1285.87
17:07:29.540	1289.05
17:07:29.560	1294.35
17:07:29.580	1297.75
17:07:29.599	1301.97
17:07:29.620	1303.46
