(time)	1 Mean  (°C)
13:41:18.720	37.99
13:41:18.739	31.97
13:41:18.760	37.32
13:41:18.779	24.80
13:41:18.800	26.42
13:41:18.819	24.67
13:41:18.839	31.48
13:41:18.860	26.79
13:41:18.879	28.32
13:41:18.900	20.51
13:41:18.919	27.21
13:41:18.940	36.84
13:41:18.959	30.30
13:41:18.980	32.79
13:41:19.000	22.74
13:41:19.019	20.71
13:41:19.040	29.39
13:41:19.059	16.27
13:41:19.080	25.69
13:41:19.099	26.09
13:41:19.120	31.98
13:41:19.139	33.57
13:41:19.160	39.00
13:41:19.180	29.38
13:41:19.199	29.84
13:41:19.220	33.72
13:41:19.239	23.00
13:41:19.260	27.63
13:41:19.279	16.16
13:41:19.300	17.09
13:41:19.319	36.99
13:41:19.339	28.36
13:41:19.360	41.02
13:41:19.379	30.95
13:41:19.400	39.09
13:41:19.419	15.77
13:41:19.440	26.96
13:41:19.459	37.63
13:41:19.480	33.84
13:41:19.500	28.73
13:41:19.519	34.65
13:41:19.540	30.50
13:41:19.559	28.66
13:41:19.580	15.69
13:41:19.599	20.03
13:41:19.620	35.28
13:41:19.639	27.27
13:41:19.660	25.92
13:41:19.680	32.98
13:41:19.699	26.28
13:41:19.720	29.32
13:41:19.739	24.74
13:41:19.760	40.22
13:41:19.779	36.32
13:41:19.800	46.02
13:41:19.819	23.65
13:41:19.839	34.89
13:41:19.860	27.79
13:41:19.879	21.94
13:41:19.900	24.50
13:41:19.919	28.87
13:41:19.940	26.26
13:41:19.959	36.34
13:41:19.980	29.48
13:41:20.000	25.51
13:41:20.019	37.08
13:41:20.040	37.60
13:41:20.059	28.51
13:41:20.080	25.70
13:41:20.099	30.73
13:41:20.120	16.27
13:41:20.139	38.26
13:41:20.160	23.92
13:41:20.180	22.32
13:41:20.199	28.04
13:41:20.220	35.89
13:41:20.239	22.40
13:41:20.260	0.00
13:41:20.279	38.02
13:41:20.300	30.37
13:41:20.319	25.52
13:41:20.339	32.60
13:41:20.360	30.04
13:41:20.379	23.58
13:41:20.400	24.69
13:41:20.419	35.45
13:41:20.440	26.64
13:41:20.459	27.60
13:41:20.480	24.30
13:41:20.500	38.07
13:41:20.519	33.74
13:41:20.540	33.22
13:41:20.559	22.56
13:41:20.580	33.41
13:41:20.599	39.93
13:41:20.620	34.03
13:41:20.639	44.52
13:41:20.660	32.00
13:41:20.680	24.38
13:41:20.699	39.21
13:41:20.720	25.68
13:41:20.739	26.31
13:41:20.760	31.09
13:41:20.779	35.79
13:41:20.800	39.13
13:41:20.819	23.02
13:41:20.839	34.29
13:41:20.860	36.00
13:41:20.879	21.52
13:41:20.900	27.96
13:41:20.919	31.52
13:41:20.940	34.60
13:41:20.959	38.41
13:41:20.980	12.74
13:41:21.000	42.31
13:41:21.019	35.15
13:41:21.040	29.82
13:41:21.059	26.03
13:41:21.080	32.72
