Trigger Time:	2021-06-10	14:57:34.888
Number of processed measurements:	3
TsLaserEnergy:	4.5150299072265625

Measurement time:	2021-06-10	14:57:34.888
Rad. Pos [mm]	ne [m-3]	Te [eV]	dne [m-3]	dTe [eV]
-19.742307662963867	1.2523880543554634e+19	0.7972814799951213	1.2862290431374787e+18	0.1093251173562754
-18.069231033325195	3.4926369486351106e+19	1.2726210997599285	1.9446516527828828e+18	0.09071205093661036
-16.396154403686523	4.458823995450248e+19	1.8104688143860257	2.5677252384731955e+18	0.13123359830616574
-14.723076820373535	4.597032607061692e+19	1.9126555678987016	2.17603191765939e+18	0.11432608564225012
-13.050000190734863	4.9524814066751635e+19	2.266276570621258	2.2977852382495375e+18	0.13465636386215132
-11.376922607421875	5.30641507926556e+19	2.163343702261429	2.0632831849838674e+18	0.11628283193439777
-9.703845977783203	6.259891331858956e+19	2.564844656744421	2.3356359260357263e+18	0.12380433801514354
-8.030769348144531	1.1752128274265172e+20	2.7412685466926847	3.142129079398957e+18	0.0936964800707817
-6.357692241668701	2.434902980394599e+20	2.552967005357358	4.5053057945388974e+18	0.058209705282287236
-4.684615612030029	4.780002425000826e+20	2.617913366104316	6.175565936834118e+18	0.04390366608444762
-3.011538505554199	6.142355386029237e+20	2.892653054724598	6.873144492006834e+18	0.04267250700143152
-1.3384615182876587	7.082199629578675e+20	3.4320879576495753	8.177063577723601e+18	0.05341952976954986
0.3346153795719147	8.021267002192392e+20	3.9545451979474446	7.060878955624006e+18	0.059387586295213735
2.007692337036133	9.070327055142774e+20	4.354427257477693	7.195565831491682e+18	0.06236028679120332
3.680769205093384	8.410043054774918e+20	4.069806065129113	6.890511278167556e+18	0.0658090913358263
5.353846073150635	8.45448795359753e+20	3.635545279531732	7.256011483228668e+18	0.04708989738055878
7.026923179626465	7.686764250931774e+20	3.1138257635161253	7.56571037366852e+18	0.043115386631759
8.699999809265137	6.24194264016435e+20	2.7409258243883263	7.525070774638477e+18	0.049741033511059594
10.373077392578125	3.7855597765313797e+20	2.580125650336534	4.975026232895734e+18	0.044424229033703785
12.046154022216797	1.931155482902979e+20	2.4405294019042008	3.7315527989159526e+18	0.06213209267215116
13.719230651855469	1.0927620337563389e+20	2.5115928071700973	2.843326349190365e+18	0.08971191980525954
15.39230728149414	8.452208006286174e+19	2.3068638306360345	2.3065079388705915e+18	0.08727497503016912
17.065383911132812	7.021954924586782e+19	2.079950523246505	2.591485134993621e+18	0.09878629556430694
18.738462448120117	5.915880971611564e+19	1.8859869641805123	2.435974058651681e+18	0.09610932214144013
20.41153907775879	5.791967330575162e+19	1.6988026588317093	2.2480365977002312e+18	0.07522937620032014
