(time)	1 Mean  (°C)
16:42:05.707	60.96
16:42:05.726	58.04
16:42:05.747	42.59
16:42:05.766	45.14
16:42:05.787	34.45
16:42:05.807	79.79
16:42:05.827	46.39
16:42:05.847	65.93
16:42:05.866	60.69
16:42:05.887	75.03
16:42:05.906	38.88
16:42:05.927	76.07
16:42:05.947	69.35
16:42:05.967	44.05
16:42:05.987	71.87
16:42:06.006	53.45
16:42:06.027	53.78
16:42:06.046	61.33
16:42:06.067	57.50
16:42:06.086	36.06
16:42:06.107	41.20
16:42:06.127	51.96
16:42:06.147	44.64
16:42:06.167	58.49
16:42:06.186	73.26
16:42:06.207	83.93
16:42:06.226	60.94
16:42:06.247	58.84
16:42:06.266	53.23
16:42:06.287	38.76
16:42:06.307	44.86
16:42:06.327	66.19
16:42:06.347	62.87
16:42:06.366	74.81
16:42:06.387	75.38
16:42:06.406	67.07
16:42:06.427	43.14
16:42:06.447	58.14
16:42:06.467	74.62
16:42:06.487	98.36
16:42:06.506	67.81
16:42:06.527	40.38
16:42:06.546	68.08
16:42:06.567	56.51
16:42:06.586	42.00
16:42:06.607	77.84
16:42:06.627	58.87
16:42:06.647	43.49
16:42:06.667	90.40
16:42:06.686	80.89
16:42:06.707	82.33
16:42:06.726	68.34
16:42:06.747	55.12
16:42:06.766	82.17
16:42:06.787	46.34
16:42:06.807	42.91
16:42:06.827	76.39
16:42:06.847	67.57
16:42:06.866	43.71
16:42:06.887	74.70
16:42:06.906	61.75
16:42:06.927	59.45
16:42:06.947	44.86
16:42:06.967	87.68
16:42:06.987	69.45
16:42:07.006	68.65
16:42:07.027	49.85
16:42:07.046	89.14
16:42:07.067	49.78
16:42:07.086	78.40
16:42:07.107	68.36
16:42:07.127	41.67
16:42:07.147	63.33
16:42:07.167	73.20
16:42:07.186	36.35
16:42:07.207	72.37
16:42:07.226	57.37
16:42:07.247	65.04
16:42:07.266	64.68
16:42:07.287	81.78
16:42:07.307	33.21
16:42:07.327	50.02
16:42:07.347	39.46
16:42:07.366	64.34
16:42:07.387	59.01
16:42:07.406	71.62
16:42:07.427	79.79
16:42:07.447	0.00
16:42:07.467	27.48
16:42:07.487	84.25
16:42:07.506	84.14
16:42:07.527	68.07
16:42:07.546	71.62
16:42:07.567	74.74
16:42:07.586	82.01
16:42:07.607	90.18
16:42:07.627	74.78
16:42:07.647	54.74
16:42:07.667	44.24
16:42:07.686	75.95
16:42:07.707	74.30
16:42:07.726	50.80
16:42:07.747	69.81
16:42:07.766	59.89
16:42:07.787	49.03
16:42:07.807	43.19
16:42:07.827	52.52
16:42:07.847	60.95
16:42:07.866	73.75
16:42:07.887	60.46
16:42:07.906	32.87
16:42:07.927	72.81
16:42:07.947	67.19
16:42:07.967	92.10
16:42:07.987	69.57
16:42:08.006	67.54
16:42:08.027	65.69
16:42:08.046	90.08
16:42:08.067	58.95
16:42:08.086	82.41
16:42:08.107	67.98
16:42:08.127	48.85
16:42:08.147	62.15
16:42:08.167	91.88
16:42:08.186	59.71
16:42:08.207	88.55
16:42:08.226	56.13
16:42:08.247	69.04
16:42:08.266	81.48
16:42:08.287	55.38
16:42:08.307	67.61
16:42:08.327	60.90
16:42:08.347	49.85
16:42:08.366	72.44
16:42:08.387	62.62
16:42:08.406	49.56
16:42:08.427	51.31
16:42:08.447	180.32
16:42:08.467	373.75
16:42:08.487	549.94
16:42:08.506	710.93
16:42:08.527	865.75
16:42:08.546	999.91
16:42:08.567	1128.57
16:42:08.586	1236.96
16:42:08.607	1353.90
16:42:08.627	1449.27
16:42:08.647	1544.61
16:42:08.667	1624.26
16:42:08.686	1706.32
16:42:08.707	1776.46
16:42:08.726	1847.60
16:42:08.747	1909.96
16:42:08.766	1958.16
16:42:08.787	2013.39
16:42:08.807	2062.62
16:42:08.827	2113.01
16:42:08.847	2148.46
16:42:08.866	2186.76
16:42:08.887	2215.58
16:42:08.906	2255.86
16:42:08.927	2284.65
16:42:08.947	2313.59
16:42:08.967	2344.43
16:42:08.987	2367.85
16:42:09.006	2396.69
16:42:09.027	2411.75
16:42:09.046	2437.92
16:42:09.067	2452.52
16:42:09.086	2483.03
16:42:09.107	2493.97
16:42:09.127	2514.17
16:42:09.147	2520.75
16:42:09.167	2545.65
16:42:09.186	2553.85
16:42:09.207	2568.16
16:42:09.226	2576.39
16:42:09.247	2589.74
16:42:09.266	2597.13
16:42:09.287	2607.60
16:42:09.307	2615.34
16:42:09.327	2620.65
16:42:09.347	2632.17
16:42:09.366	2634.04
16:42:09.387	2639.88
16:42:09.406	2616.68
16:42:09.427	2620.02
16:42:09.447	2616.23
16:42:09.467	2586.60
16:42:09.487	2584.31
16:42:09.506	2591.05
16:42:09.527	2551.54
16:42:09.546	2552.78
16:42:09.567	2547.43
16:42:09.586	2549.03
16:42:09.607	2532.46
16:42:09.627	2519.06
16:42:09.647	2511.17
16:42:09.667	2517.49
16:42:09.686	2528.30
16:42:09.726	2526.84
16:42:09.747	2533.26
16:42:09.766	2533.73
16:42:09.787	2533.68
16:42:09.807	2530.25
16:42:09.827	2532.12
16:42:09.847	2528.18
16:42:09.866	2551.20
16:42:09.887	2564.60
16:42:09.906	2571.12
16:42:09.927	2576.72
16:42:09.947	2585.86
16:42:09.967	2587.04
16:42:09.987	2589.38
16:42:10.006	2592.91
16:42:10.027	2593.83
16:42:10.046	2593.87
16:42:10.067	2606.66
16:42:10.086	2604.43
16:42:10.107	2611.45
16:42:10.127	2610.88
16:42:10.147	2616.75
16:42:10.167	2614.53
16:42:10.186	2622.81
16:42:10.207	2622.94
16:42:10.226	2629.85
16:42:10.247	2631.24
16:42:10.266	2635.63
16:42:10.287	2636.77
16:42:10.307	2638.98
16:42:10.327	2639.02
16:42:10.347	2641.63
16:42:10.366	2644.41
16:42:10.387	2646.15
16:42:10.406	2649.30
16:42:10.427	2648.24
16:42:10.447	2648.10
16:42:10.467	2643.93
16:42:10.487	2634.89
16:42:10.506	2633.50
16:42:10.527	2644.76
16:42:10.546	2647.60
16:42:10.567	2660.47
16:42:10.586	2659.44
16:42:10.607	2665.56
16:42:10.627	2664.90
16:42:10.647	2667.42
16:42:10.667	2659.23
16:42:10.686	2653.30
16:42:10.707	2644.54
16:42:10.726	2631.78
16:42:10.747	2633.05
16:42:10.766	2619.54
16:42:10.787	2635.43
16:42:10.807	2620.70
16:42:10.827	2637.54
16:42:10.847	2634.20
16:42:10.866	2644.65
16:42:10.887	2637.74
16:42:10.906	2636.11
16:42:10.927	2635.10
16:42:10.947	2637.82
16:42:10.967	2642.93
16:42:10.987	2651.76
16:42:11.006	2655.64
16:42:11.027	2656.84
16:42:11.046	2655.01
16:42:11.067	2656.83
16:42:11.086	2661.61
16:42:11.107	2661.79
16:42:11.127	2669.78
16:42:11.147	2670.37
16:42:11.167	2663.00
16:42:11.186	2668.35
16:42:11.207	2675.30
16:42:11.226	2684.49
16:42:11.247	2673.74
16:42:11.266	2685.18
16:42:11.287	2683.39
16:42:11.307	2687.28
16:42:11.327	2681.45
16:42:11.347	2673.28
16:42:11.366	2652.55
16:42:11.387	2672.18
16:42:11.406	2657.26
16:42:11.427	2668.02
16:42:11.447	2661.99
16:42:11.467	2661.08
16:42:11.487	2654.60
16:42:11.506	2661.07
16:42:11.527	2657.52
16:42:11.546	2651.01
16:42:11.567	2652.68
16:42:11.586	2643.49
16:42:11.607	2644.81
16:42:11.627	2641.68
16:42:11.647	2646.20
16:42:11.667	2646.28
16:42:11.686	2648.15
16:42:11.707	2651.72
16:42:11.726	2648.00
16:42:11.747	2648.10
16:42:11.766	2648.57
16:42:11.787	2648.48
16:42:11.807	2647.21
16:42:11.827	2654.36
16:42:11.847	2650.67
16:42:11.866	2651.75
16:42:11.887	2650.20
16:42:11.906	2652.77
16:42:11.927	2649.91
16:42:11.947	2658.57
16:42:11.967	2658.77
16:42:11.987	2651.57
16:42:12.006	2646.01
16:42:12.027	2642.12
16:42:12.046	2654.12
16:42:12.067	2660.60
16:42:12.086	2653.16
16:42:12.107	2653.87
16:42:12.127	2650.78
16:42:12.147	2651.33
16:42:12.167	2652.48
16:42:12.186	2647.61
16:42:12.207	2653.68
16:42:12.226	2653.05
16:42:12.247	2653.55
16:42:12.266	2653.34
16:42:12.287	2655.55
16:42:12.307	2653.76
16:42:12.327	2655.37
16:42:12.347	2655.16
16:42:12.366	2653.81
16:42:12.387	2663.10
16:42:12.406	2654.29
16:42:12.427	2653.39
16:42:12.447	2657.22
16:42:12.467	2652.30
16:42:12.487	2666.13
16:42:12.506	2661.86
16:42:12.527	2652.60
16:42:12.546	2661.24
16:42:12.567	2654.82
16:42:12.586	2656.93
16:42:12.607	2654.30
16:42:12.627	2651.37
16:42:12.647	2655.91
16:42:12.667	2660.30
16:42:12.686	2665.53
16:42:12.707	2672.38
16:42:12.726	2670.10
16:42:12.747	2661.26
16:42:12.766	2656.03
16:42:12.787	2658.96
16:42:12.807	2656.87
16:42:12.827	2658.53
16:42:12.847	2660.74
16:42:12.866	2662.01
16:42:12.887	2659.50
16:42:12.906	2660.18
16:42:12.927	2659.45
16:42:12.947	2661.58
16:42:12.967	2666.17
16:42:12.987	2665.07
16:42:13.006	2656.83
16:42:13.027	2658.37
16:42:13.046	2661.26
16:42:13.067	2662.26
16:42:13.086	2662.59
16:42:13.107	2658.91
16:42:13.127	2662.30
16:42:13.147	2655.57
16:42:13.167	2661.46
16:42:13.186	2661.70
16:42:13.207	2647.90
16:42:13.226	2663.73
16:42:13.247	2666.80
16:42:13.266	2656.90
16:42:13.287	2655.45
16:42:13.307	2651.30
16:42:13.327	2653.38
16:42:13.347	2650.29
16:42:13.366	2641.07
16:42:13.387	2658.88
16:42:13.406	2644.12
16:42:13.427	2641.69
16:42:13.447	2642.00
16:42:13.467	2651.48
16:42:13.487	2652.33
16:42:13.506	2639.76
16:42:13.527	2647.90
16:42:13.546	2640.03
16:42:13.567	2648.64
16:42:13.586	2641.86
16:42:13.607	2636.50
16:42:13.627	2642.03
16:42:13.647	2626.59
16:42:13.667	2628.62
16:42:13.686	2632.01
16:42:13.707	2630.65
16:42:13.726	2630.61
16:42:13.747	2635.15
16:42:13.766	2638.49
16:42:13.787	2635.89
16:42:13.807	2639.28
16:42:13.827	2639.49
16:42:13.847	2637.47
16:42:13.866	2635.72
16:42:13.887	2639.80
16:42:13.906	2635.21
16:42:13.927	2638.22
16:42:13.947	2637.45
16:42:13.967	2633.68
16:42:13.987	2639.75
16:42:14.006	2640.51
16:42:14.027	2636.80
16:42:14.046	2638.40
16:42:14.067	2637.98
16:42:14.086	2638.35
16:42:14.107	2637.07
16:42:14.127	2639.01
16:42:14.147	2640.42
16:42:14.167	2642.55
16:42:14.186	2642.54
16:42:14.207	2642.62
16:42:14.226	2645.75
16:42:14.247	2644.72
16:42:14.266	2641.06
16:42:14.287	2643.39
16:42:14.307	2642.60
16:42:14.327	2638.86
16:42:14.347	2640.55
16:42:14.366	2641.18
16:42:14.387	2646.44
16:42:14.406	2643.38
16:42:14.427	2642.47
16:42:14.447	2642.52
16:42:14.467	2644.61
16:42:14.487	2645.33
16:42:14.506	2646.07
16:42:14.527	2643.34
16:42:14.546	2640.70
16:42:14.567	2639.56
16:42:14.586	2640.37
16:42:14.607	2643.38
16:42:14.627	2641.66
16:42:14.647	2640.88
16:42:14.667	2639.55
16:42:14.686	2640.93
16:42:14.707	2641.50
